i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
1149,1107,1144,1110,1145,1188,1146,1114,989,950
378,569,645,604,530,1101,568,605,643,3015
1347,2976,1149,1155,1164,1110,1151,1162,1310,1114
952,1027,2243,1026,912,914,988,989,951,950
893,858,888,892,625,587,1007,914,479,950
339,340,492,1101,378,530,568,605,643,3015
493,492,340,339,378,530,568,605,3015,643
1187,1152,1150,1149,1190,1110,1188,1151,1192,1114
479,925,1008,895,2851,1006,974,1007,970,1009
2976,1354,2935,1150,1153,1110,1187,1151,1149,1114
339,340,492,378,1101,530,568,605,643,3015
377,493,416,262,302,340,341,339,378,2934
493,340,492,1101,378,530,568,605,643,3015
339,529,492,1101,378,530,568,605,3015,643
1107,1188,914,1146,1026,988,951,1114,989,950
1310,1347,1187,1155,1162,1110,1149,2976,1151,1114
339,340,492,378,1101,530,568,605,643,3015
339,340,492,1101,378,530,568,605,643,3015
493,339,340,492,378,530,568,605,3015,643
339,340,492,378,1101,530,568,605,643,3015
856,625,895,1008,858,970,1009,1007,974,479
2934,340,492,378,1101,530,568,605,643,3015
2935,1151,1347,1110,1164,1149,1391,1162,1114,2976
529,339,340,492,378,530,568,605,3015,643
2934,340,492,378,1101,530,568,605,643,3015
2934,340,492,378,530,1101,568,605,643,3015
687,912,196,950,195,156,158,612,119,649
569,378,645,604,530,1101,568,605,643,3015
1559,2167,1483,3033,1482,2242,1406,1558,1976,1520
609,532,647,950,608,951,646,912,3025,988
339,340,492,1101,378,530,568,605,643,3015
2840,2884,2834,2877,2917,2794,2873,2836,2874,2876
262,455,643,492,341,493,2934,340,339,378
1153,1152,1188,1150,2935,1187,1151,1110,1149,1114
340,339,1101,492,378,530,568,605,3015,643
3011,197,614,196,612,156,195,158,649,119
914,1027,952,2243,912,1026,951,989,988,950
2184,2769,2732,2692,2730,2733,2735,2983,2694,1192
1796,1192,911,2291,2168,1603,2694,2141,2102,1565
529,378,645,604,1101,530,568,605,643,3015
455,493,416,262,302,340,341,339,2934,378
455,416,493,302,262,340,341,339,2934,378
1521,1444,1482,3033,1483,1559,1558,1406,1520,1976
1152,1155,1153,1150,2935,1187,1151,1110,1149,1114
2934,340,492,1101,378,530,568,605,643,3015
569,1101,378,529,604,530,568,605,3015,643
1310,1155,1150,950,2935,1187,1151,1149,1110,1114
1152,1146,1150,1188,1151,1187,2935,1110,1149,1114
1150,1107,1187,1188,950,1151,2935,1149,1110,1114
1521,2242,1559,3033,1482,1483,1406,1558,1976,1520
1153,1155,1162,2976,2935,1151,1187,1110,1149,1114
529,604,492,378,1101,530,568,605,643,3015
530,341,493,2934,3015,492,340,339,643,378
339,340,492,378,1101,530,568,605,643,3015
1163,1161,1114,1354,1391,1164,1310,1347,1162,2976
988,1027,1446,2206,2204,2243,951,1026,950,989
2206,1027,952,2204,2243,988,951,1026,950,989
1153,1150,1354,2976,2935,1151,1110,1187,1149,1114
517,552,163,479,202,158,119,3011,587,950
2981,2594,2671,2633,2938,2634,2591,2552,2553,950
2433,1027,952,912,2243,1026,951,989,988,950
2976,1354,1150,1153,2935,1151,1110,1187,1149,1114
1521,2242,1559,1482,3033,1483,1406,1558,1976,1520
2916,2885,2878,2881,2882,2887,2884,2844,2917,2880
339,340,492,378,1101,530,568,605,643,3015
1153,1188,1155,1150,1151,2935,1187,1110,1149,1114
1520,2167,989,2242,2166,1026,912,950,951,988
970,1074,1113,2938,1077,1110,2935,1076,1151,1114
302,455,262,492,493,341,340,339,2934,378
2204,1146,1027,2243,952,988,951,1026,950,989
2909,2840,2882,2877,2878,2876,2880,2844,2884,2917
2791,2669,2795,2672,2668,2670,2873,2711,2794,2834
455,302,262,492,493,340,341,339,2934,378
612,119,687,953,649,914,988,951,912,950
416,455,262,492,493,341,340,339,2934,378
2935,1164,1391,1151,1187,1110,1162,1149,2976,1114
1034,1007,1031,1005,970,2141,2938,2472,2291,950
2291,925,858,2102,1005,970,914,1007,2141,950
2934,340,492,378,1101,530,568,605,643,3015
1127,1310,1151,1354,1164,1347,1391,1162,1114,2976
153,3025,231,229,154,191,157,196,193,649
529,378,645,604,530,1101,568,605,643,3015
682,645,1101,607,604,872,605,568,3015,643
1192,1190,1152,1150,1188,1151,1187,1110,1149,1114
529,340,492,378,1101,530,568,605,643,3015
1107,1149,1379,1188,1145,1144,1114,1146,950,989
2742,2822,2745,2776,2856,2819,2707,2855,2820,2851
1149,1155,1110,1347,950,2976,1164,1310,1162,1114
339,340,492,378,1101,530,568,605,643,3015
1150,1145,1110,2291,1113,1146,1112,1151,1192,1114
529,645,607,569,604,530,605,568,3015,643
1146,1152,1150,1188,1151,2935,1187,1110,1149,1114
493,455,262,302,416,340,2934,341,378,339
300,302,262,379,340,341,378,339,455,416
1110,1149,1107,1188,1145,1144,1114,1146,950,989
1192,1151,1145,2168,1110,1188,1146,1114,989,950
1520,2242,2167,912,2166,1026,989,951,950,988
1444,1521,1482,3033,1559,1483,1406,1558,1976,1520
1444,1521,1482,3033,1559,1483,1558,1406,1520,1976
2934,340,492,378,530,1101,568,605,643,3015
416,302,262,492,493,340,341,339,2934,378
988,2242,1976,2166,2167,1938,1026,950,1520,989
648,195,158,951,612,988,119,912,649,950
158,953,687,119,649,988,914,951,912,950
529,492,604,378,530,1101,568,605,643,3015
759,1059,949,2694,872,911,835,721,682,797
2553,2472,1026,2243,912,914,989,951,988,950
2934,340,492,378,1101,530,568,605,643,3015
339,340,492,378,1101,530,568,605,643,3015
2694,2141,1454,2206,1796,1192,2102,1603,2168,1565
1521,1444,1482,3033,1483,1559,1558,1406,1520,1976
1087,1155,1110,1150,1354,1187,1153,1149,1151,1114
2934,340,492,378,1101,530,568,605,643,3015
339,340,492,1101,378,530,568,605,3015,643
1155,1190,1152,1188,1150,1151,1110,1187,1149,1114
2935,1155,1152,1153,1150,1110,1187,1151,1149,1114
339,340,492,378,1101,530,568,605,643,3015
1102,1027,2204,952,2243,951,988,1026,989,950
1152,1153,1188,1150,1151,1187,2935,1110,1149,1114
339,340,492,1101,378,530,568,605,643,3015
1107,1187,1151,2935,1146,1188,950,1110,1149,1114
2242,2243,2167,2166,2204,951,988,1026,950,989
1152,950,1150,1188,1187,2935,1151,1110,1149,1114
1444,1521,1482,3033,1559,1483,1406,1558,1976,1520
530,645,455,569,605,643,604,911,568,607
1382,1146,1152,1150,1188,1151,1110,1187,1149,1114
874,2243,913,1026,989,914,912,988,951,950
493,339,340,492,378,530,568,605,3015,643
492,416,493,302,262,340,341,339,2934,378
925,974,2291,888,2938,1005,1009,1007,970,950
1482,1406,989,2166,2167,988,1558,2242,1976,1520
529,492,340,339,378,530,568,605,3015,643
340,529,339,455,378,530,568,605,3015,643
1107,1147,1151,1110,1108,1144,1188,1145,1114,1146
530,872,3015,911,645,605,604,568,643,607
1521,1444,1482,3033,1483,1559,1558,1406,1520,1976
1521,1444,1482,3033,1483,1559,1558,1406,1520,1976
376,568,605,340,378,530,339,643,416,455
569,3015,530,911,645,604,605,568,643,607
912,952,1027,914,2243,1026,988,951,989,950
1152,1188,1150,1187,2935,1146,1151,1110,1149,1114
340,416,339,455,378,530,568,605,3015,643
529,340,1101,492,378,530,568,605,3015,643
121,197,3011,161,200,122,195,614,158,119
1187,2935,1152,1188,1150,1146,1149,1110,1151,1114
455,645,604,339,378,530,568,605,3015,643
1153,1155,1152,1310,1110,1190,1150,1151,1192,1114
1110,1106,1107,1188,1145,1144,1114,1146,950,989
529,492,340,339,378,530,568,605,3015,643
608,649,571,912,193,532,988,3025,647,646
1521,1444,1482,3033,1483,1559,1558,1406,1520,1976
1145,1187,2935,1150,1188,1151,1149,1110,1146,1114
1149,1110,1145,1107,1144,1188,1146,1114,989,950
1188,1108,2216,1144,1114,2168,1145,950,1146,989
2242,1444,3033,1482,1483,1559,1558,1406,1520,1976
1034,914,1031,989,1192,2168,2291,2141,2102,950
1027,1141,1146,952,2243,2206,2204,1026,950,989
1444,1521,1482,1559,3033,1483,1406,1558,1976,1520
493,339,340,492,378,530,568,605,3015,643
1076,1113,1153,1112,1155,1150,1192,1110,1151,1114
607,1101,569,645,604,530,605,568,3015,643
1520,1179,2167,950,1141,1026,2206,1938,2204,989
1445,989,1482,1483,1938,1521,3033,1558,1976,1520
493,339,340,492,378,530,568,605,3015,643
262,455,643,492,493,341,2934,340,339,378
872,569,607,645,604,530,605,568,3015,643
1391,1155,1162,2935,1187,1151,1110,2976,1149,1114
1076,1153,1187,2935,1150,1155,1149,1110,1151,1114
455,302,262,492,493,341,340,339,2934,378
339,340,1101,492,378,530,568,605,643,3015
1902,2204,2167,3033,1558,1521,1938,1976,1520,989
1445,1444,1482,3033,1483,1559,1558,1406,1520,1976
455,302,262,492,493,341,339,340,2934,378
1107,1149,1144,989,1110,1145,1188,950,1146,1114
645,529,339,604,378,530,568,605,3015,643
493,340,339,492,378,568,530,605,3015,643
1152,1150,1146,1187,2935,1188,1151,1110,1149,1114
1938,988,950,2166,2242,1026,2167,1976,989,1520
1153,1150,1162,1155,2935,1187,1151,1149,1110,1114
1187,1151,1107,2935,1188,950,1146,1149,1110,1114
493,339,340,492,378,530,568,605,3015,643
2167,1482,1483,989,1938,1521,3033,1558,1976,1520
157,610,193,608,609,3025,571,532,647,646
2594,2514,2509,2550,2591,2590,2552,2553,988,950
493,339,340,492,378,530,568,605,3015,643
1141,1976,2206,1520,950,2167,1026,1938,2204,989
1521,2167,1483,1482,1406,3033,2242,1558,1976,1520
1938,1521,1559,1482,3033,1483,1406,1558,1976,1520
989,1406,1521,2167,1483,1482,3033,1558,1976,1520
1145,2243,2206,952,2204,1144,1026,1146,950,989
455,302,262,492,493,341,340,339,2934,378
493,340,492,1101,378,530,568,605,3015,643
455,493,416,262,302,340,341,2934,339,378
1076,1153,1150,1155,2935,1187,1151,1149,1110,1114
1077,1154,1153,1150,1310,970,1114,1151,1112,1192
1152,1187,2935,1150,1188,1151,1110,1149,1146,1114
1076,1153,1155,1150,2935,1187,1151,1110,1149,1114
493,340,492,378,1101,530,568,605,643,3015
2206,2204,1027,952,2243,988,951,1026,950,989
340,455,529,339,378,530,568,605,3015,643
493,340,1101,492,378,530,568,605,643,3015
1521,1444,1482,3033,1483,1559,1558,1406,1520,1976
2730,2732,835,2141,797,2983,2735,911,2733,2694
2166,952,2243,1938,2206,2167,1026,950,2204,989
339,493,340,492,378,530,568,605,3015,643
1153,1110,1347,2976,1164,1155,1151,1162,1114,1310
493,339,340,492,378,530,568,605,3015,643
2935,1187,1310,1155,1162,2976,1149,1110,1151,1114
529,340,492,378,530,1101,568,605,643,3015
416,262,455,492,493,341,2934,340,339,378
1146,1027,2206,2204,951,952,2243,1026,950,989
157,571,193,572,608,532,649,647,646,3025
1151,1144,989,1107,1188,1149,1110,1146,950,1114
1110,1391,1151,1155,1347,1310,1114,1164,2976,1162
1107,1188,1150,1076,1187,1151,2935,1149,1110,1114
1008,970,1007,1009,2976,1347,1164,974,1162,1310
339,340,492,1101,378,530,568,605,3015,643
493,340,492,378,1101,530,568,605,643,3015
874,648,3025,913,646,649,951,912,988,950
1163,1165,1155,974,1114,1347,2976,1164,1310,1162
2243,2166,2206,1520,1938,2167,1026,2204,950,989
913,648,612,119,646,649,951,988,912,950
340,378,416,339,455,530,568,605,3015,643
455,302,262,492,493,339,341,340,2934,378
416,302,262,492,493,340,339,341,2934,378
455,569,607,645,604,530,605,568,3015,643
1009,1577,1005,1007,2184,1192,2102,970,2291,2141
2204,1179,950,1145,1141,1417,1144,1379,1146,989
1414,989,1183,1188,1417,1145,1379,1114,1144,1146
529,340,1101,339,378,530,568,605,3015,643
339,340,492,378,1101,530,568,605,643,3015
455,302,262,492,493,341,339,340,2934,378
1521,1444,1482,3033,1483,1559,1558,1406,1520,1976
1146,2935,1107,1151,1149,1188,1110,989,1114,950
856,625,1008,895,858,479,970,1009,974,1007
988,1027,2206,951,952,2243,2204,1026,950,989
341,530,2934,493,492,339,340,3015,643,378
455,302,262,492,493,339,340,341,2934,378
649,157,194,158,156,196,117,195,119,193
1183,1107,1110,1379,1149,1188,1145,1144,1146,1114
1151,888,858,1164,974,1162,1007,1114,1310,950
1310,1076,1155,1187,2935,1151,1149,1110,950,1114
492,416,493,262,302,340,341,339,378,2934
1076,1150,950,1188,1187,2935,1151,1149,1110,1114
493,339,340,492,378,530,568,605,3015,643
874,2243,913,989,1026,914,912,951,988,950
1008,974,888,1007,1114,892,1164,1162,1310,950
493,340,339,492,378,530,568,605,3015,643
2242,951,1938,2166,2204,2167,1520,1026,950,989
416,302,262,492,493,340,341,339,2934,378
914,1027,952,912,2243,1026,951,989,988,950
493,340,492,378,1101,530,568,605,643,3015
1009,1007,1008,892,1347,974,2976,1164,1310,1162
2206,1027,952,988,2243,951,2204,1026,950,989
493,339,340,492,568,530,605,378,3015,643
493,339,340,492,378,530,568,605,3015,643
339,529,492,1101,378,530,568,605,3015,643
493,455,262,416,302,340,2934,341,339,378
529,340,492,378,1101,530,568,605,643,3015
895,974,893,856,858,888,892,479,1007,950
339,340,492,1101,378,530,568,605,643,3015
1310,2935,1187,1150,1153,1155,1149,1110,1151,1114
493,340,1101,492,378,530,568,605,643,3015
1027,952,2243,914,1026,912,989,988,951,950
2882,2840,2880,2878,2874,2844,2877,2884,2876,2917
1150,1147,1187,2935,1151,1188,1110,1146,1149,1114
1559,1482,2167,2166,1558,2242,1406,988,1976,1520
339,340,492,378,1101,530,568,605,643,3015
35,341,376,25,378,300,379,339,416,455
550,406,970,517,1009,1007,444,625,587,479
1152,1146,1150,1188,1151,1187,2935,1110,1149,1114
1107,1026,2168,1188,1144,1145,1114,1146,950,989
2934,605,493,530,492,339,340,3015,378,643
1076,1155,1188,1150,1187,2935,1151,1149,1110,1114
529,340,492,378,1101,530,568,605,643,3015
2877,2887,2876,2840,2882,2878,2844,2880,2884,2917
572,610,608,157,571,3025,193,532,646,647
339,493,340,492,378,530,568,605,3015,643
1147,1107,1379,1110,1149,1188,1145,1144,1146,1114
493,455,416,262,302,340,341,2934,339,378
1027,952,2243,912,914,1026,951,989,988,950
2934,340,492,378,1101,530,568,605,643,3015
444,585,550,552,202,517,3011,479,587,950
416,302,262,492,493,339,340,341,2934,378
493,339,340,492,378,530,568,605,3015,643
571,988,610,570,647,646,532,608,3025,609
1027,952,2243,914,1026,989,912,951,988,950
2242,1444,3033,1482,1483,1559,1558,1406,1976,1520
1187,2935,1192,1188,1150,1149,1151,950,1110,1114
339,340,492,378,1101,530,568,605,643,3015
202,200,687,619,614,3011,587,158,119,950
1101,645,569,529,604,530,568,605,3015,643
1576,895,1008,1310,858,1009,974,1192,1007,970
604,529,492,378,1101,530,568,605,643,3015
1187,1190,1192,1150,1188,1149,1151,1110,950,1114
1008,1165,1007,858,2976,974,1347,1164,1162,1310
1155,1151,2935,1149,1164,1310,1162,1110,1114,950
1147,1150,2935,1187,1151,1188,1110,1149,1146,1114
1027,951,1146,2206,2243,952,2204,1026,950,989
339,529,340,492,378,530,568,605,3015,643
455,302,262,492,493,341,340,339,2934,378
1521,1444,1482,3033,1483,1559,1558,1406,1520,1976
1145,1151,1144,2935,1107,1188,1110,1149,1146,1114
1521,1444,1482,3033,1483,1559,1558,1406,1520,1976
529,340,492,378,1101,530,568,605,643,3015
1192,1152,1155,1187,1153,1150,1110,1149,1151,1114
1938,988,2166,950,2167,2242,1026,1976,1520,989
455,302,262,492,493,341,339,340,2934,378
493,340,339,492,378,530,568,605,3015,643
2206,1027,988,952,2243,2204,951,1026,950,989
988,951,1938,2166,2204,1520,2167,1026,950,989
1406,1521,989,1483,1482,2167,3033,1558,1976,1520
529,339,340,492,378,530,568,605,3015,643
339,340,492,378,1101,530,568,605,643,3015
914,2204,1027,952,2243,951,1026,988,989,950
117,194,612,193,158,196,156,195,119,649
493,339,340,492,378,530,568,605,3015,643
914,158,119,584,202,619,479,3011,587,950
1444,1521,1482,3033,1559,1483,1406,1558,1520,1976
1155,1152,1187,1110,1153,1149,1150,1192,1151,1114
892,1164,970,858,1008,1009,1162,1007,1310,974
1188,1152,1153,1150,2935,1187,1151,1110,1149,1114
376,300,16,37,35,379,19,25,416,455
1938,988,2166,2243,2167,951,2204,1026,950,989
2672,2796,2793,2668,2831,2795,2711,2873,2794,2834
23,339,300,35,376,37,25,379,416,455
1026,951,1558,1406,2167,2166,2242,988,1976,1520
339,340,492,1101,378,530,568,605,643,3015
1521,1444,1482,3033,1483,1559,1558,1406,1520,1976
988,571,570,610,647,646,532,608,609,3025
1521,1444,1482,3033,1483,1559,1558,1406,1520,1976
2206,1141,1145,2204,1379,1026,1144,1146,950,989
1183,1188,1417,1145,1114,1379,1144,950,1146,989
2935,1145,1107,1144,1188,950,1110,1149,1146,1114
529,340,492,378,1101,530,568,605,643,3015
1114,914,1027,2243,952,951,1026,988,989,950
1558,2242,3033,1026,1521,1938,2167,1976,989,1520
1152,1146,1150,2935,1187,1188,1151,1149,1110,1114
1152,950,2935,1150,1187,1188,1151,1149,1110,1114
1076,1113,1153,2935,1149,1112,1150,1110,1151,1114
1027,952,2243,914,1026,912,989,988,951,950
974,1150,1346,1162,1347,1155,1151,1114,1192,1310
529,340,492,1101,378,530,568,605,643,3015
340,339,492,529,378,530,568,605,3015,643
1391,1127,1347,1110,1162,1155,1087,1151,2976,1114
493,339,340,492,378,530,568,605,3015,643
1076,1150,1188,1151,1187,2935,1110,1149,950,1114
493,339,340,492,378,530,568,605,3015,643
1146,1027,1141,2206,2243,952,2204,1026,950,989
2934,340,492,378,1101,530,568,605,643,3015
1027,913,2243,914,1026,989,912,988,951,950
262,3015,455,2934,416,643,341,340,378,339
455,302,262,492,493,341,339,340,2934,378
970,1007,2291,2102,914,2168,989,2141,1192,950
2167,1482,1938,1483,1521,989,3033,1558,1976,1520
1107,1379,1026,1188,1145,1114,1144,1146,950,989
858,1009,2184,2141,619,479,625,970,1007,587
1938,1521,1483,1482,2167,989,3033,1558,1976,1520
2909,2840,2887,2916,2882,2878,2844,2880,2884,2917
1414,950,1114,1141,1145,1417,1144,1379,1146,989
1164,1155,2976,1162,1151,2935,1187,1110,1149,1114
1153,1192,1110,1162,1347,1155,2976,1310,1151,1114
455,416,493,262,302,340,339,341,378,2934
913,648,612,646,3025,951,988,950,649,912
493,340,492,378,1101,530,568,605,643,3015
1152,1150,1187,1188,2935,1151,1146,1110,1149,1114
339,340,1101,492,378,530,568,605,3015,643
2166,1027,952,2243,2206,2167,2204,1026,950,989
1146,2243,952,914,988,1114,1026,951,989,950
989,1938,2167,1482,1521,1483,3033,1558,1976,1520
1838,2168,1007,970,619,1192,2184,2102,1565,2141
1152,1155,1153,1150,2935,1151,1187,1110,1149,1114
952,1027,2243,912,1026,914,988,951,989,950
1520,2167,989,2242,2166,1026,912,950,951,988
1152,1153,1188,1150,2935,1151,1187,1110,1149,1114
3033,1482,2166,2167,1406,1558,988,2242,1976,1520
156,117,646,194,157,119,195,196,649,193
1008,856,1009,858,892,587,974,625,1007,479
339,340,492,378,1101,530,568,605,643,3015
455,302,262,492,493,341,340,339,2934,378
2166,913,608,1026,646,3025,950,912,951,988
1162,1354,1391,2935,1187,1151,1110,2976,1149,1114
1076,1149,1188,988,1110,951,914,1114,989,950
614,194,156,649,196,117,158,195,193,119
1976,2167,1520,2166,2242,951,1026,950,989,988
493,340,492,1101,378,530,568,605,643,3015
1354,1150,1153,2976,2935,1151,1110,1187,1149,1114
1226,1150,1152,1151,1112,1146,1188,1190,1114,1192
416,455,262,492,493,341,340,2934,339,378
2935,1391,1392,2976,1354,1151,1110,1187,1149,1114
163,552,517,158,119,202,479,3011,587,950
1110,1107,2168,1144,1188,1145,1114,1146,989,950
2243,1145,2204,952,1114,1144,1026,1146,950,989
874,687,649,913,953,914,988,951,912,950
1149,1110,1145,1188,1107,1144,1146,1114,989,950
911,607,604,682,605,872,1101,3015,643,568
570,912,610,647,532,646,609,988,608,3025
1150,1153,1155,2976,2935,1151,1187,1110,1149,1114
2167,1559,3033,1483,2242,1482,1558,1406,1976,1520
1144,1149,1188,988,1110,1146,1107,1114,989,950
1154,1122,1009,1347,1161,970,1112,1310,974,1192
1521,1444,1482,3033,1483,1559,1558,1406,1520,1976
1521,1444,1482,3033,1483,1559,1558,1406,1520,1976
2881,2877,2918,2840,2878,2844,2884,2882,2880,2917
2242,1521,1559,1482,3033,1483,1406,1558,1976,1520
492,262,455,416,493,2934,341,340,339,378
1145,1114,952,1379,2204,1026,1144,1146,950,989
912,988,571,572,608,532,649,647,646,3025
2934,340,492,378,1101,530,568,605,643,3015
455,300,2934,379,376,340,378,341,416,339
587,1008,895,625,858,974,1009,970,479,1007
1183,1107,1188,1145,1379,1114,1144,1146,950,989
529,492,604,378,1101,530,568,605,643,3015
974,1354,1164,1346,1162,1161,2976,1347,1310,1192
645,607,872,530,604,1101,605,568,3015,643
1188,1145,2243,2206,1114,1026,2168,1146,950,989
1114,950,1112,2216,2168,1145,2291,1146,2102,1192
1155,1150,1153,2976,2935,1151,1187,1110,1149,1114
952,1188,1379,1145,1026,1114,1144,1146,950,989
