i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
2849,2998,2803,2811,2808,2770,2810,2772,2809,2773
569,529,645,2697,36,1291,492,531,493,1101
1250,1252,1139,2942,1288,1291,1289,1215,1253,1101
155,196,194,399,230,154,345,228,153,152
1315,1355,1239,1238,1204,1277,2966,1203,1241,1240
1595,2942,1291,1442,1288,1139,1101,1289,1253,1215
2514,2839,2666,2669,2589,2438,2476,2551,2667,2477
2773,1252,2809,1288,2697,1291,1289,2810,2734,1101
2212,1905,2247,1143,1181,1221,1410,2984,1412,2209
1252,1139,1288,2942,1289,1250,1215,1291,1253,1101
2838,2589,2438,2551,2477,2839,2842,2880,2667,2476
1108,1145,2212,2984,1146,1642,1221,1907,2209,1412
1149,1070,1107,1187,1108,1412,1071,2935,1221,1072
2553,2517,1143,2171,2516,2478,2476,2438,2209,2477
610,573,494,608,3025,988,571,951,532,609
1442,1595,1252,1288,1291,1139,1101,1289,1253,1215
2984,1108,2212,1145,1146,1221,1642,2209,1907,1412
85,2965,154,78,152,115,155,116,79,114
2476,2984,2438,2171,1412,2167,1181,1221,1143,2209
443,480,1317,1203,519,1276,1314,520,481,1316
1252,2942,1595,1442,1288,1139,1101,1289,1253,1215
87,2965,152,85,78,155,116,115,79,114
2847,302,2011,531,2811,2809,492,493,2810,2773
1410,2438,2167,2171,1412,2984,1221,1181,1143,2209
1595,1250,2942,1442,1288,1139,1101,1289,1253,1215
2942,1252,1595,1442,1288,1139,1101,1289,1253,1215
1907,2171,2212,1145,1146,1181,1143,2209,1412,1221
1252,2942,1595,1442,1288,1139,1101,1289,1253,1215
2842,2839,2666,2669,2438,2589,2476,2551,2477,2667
1868,1642,1143,2171,1907,2984,2212,1905,1412,2209
1252,2942,1595,1442,1288,1139,1101,1289,1253,1215
1261,1302,1223,1337,1224,1303,1316,1264,1355,1263
1252,2942,1595,1442,1288,1139,1101,1289,1253,1215
1252,1595,1291,1442,1288,1139,1101,1289,1253,1215
1442,1595,1252,1291,1288,1139,1101,1289,1253,1215
493,2771,1289,2772,2011,1291,2809,2697,1101,2773
2171,2247,1905,1143,1181,1221,1410,1412,2984,2209
345,230,194,156,116,153,154,155,114,152
1442,1288,1291,1252,1595,1139,1101,1289,1253,1215
1292,1028,990,912,950,2167,988,1064,951,1026
1252,2942,1291,1442,1288,1139,1101,1289,1253,1215
2170,1181,1907,2984,2171,1143,2212,1905,1412,2209
1484,1293,1482,1444,2280,1026,2242,1406,1445,1483
1442,1288,1252,1291,1595,1139,1101,1289,1253,1215
196,345,230,154,173,194,228,153,152,399
1203,1315,1241,1277,1238,1239,1316,1355,1263,1240
1868,2211,2175,1143,1412,1905,2171,2212,1907,2209
1315,1239,1316,1355,1263,1221,1240,2935,1071,1072
2592,2517,2589,2514,2551,2667,2478,2438,2476,2477
1223,1145,1412,1071,1108,1187,2935,1070,1072,1221
1293,1064,1444,1902,2280,1408,1406,1026,2167,1445
1315,1355,1263,1238,1239,1203,2966,1277,1241,1240
2942,1252,1442,1595,1288,1139,1101,1289,1253,1215
1203,2966,1072,1238,1241,1355,1239,1277,1263,1240
1484,1293,1482,2280,1444,1026,2242,1406,1445,1483
2212,1187,2209,1108,1181,1143,1146,1145,1412,1221
345,230,194,156,116,114,155,154,153,152
2942,1252,1595,1442,1288,1139,1101,1289,1253,1215
1442,1288,1595,1252,1139,1291,1101,1289,1253,1215
1223,1145,1187,1146,1108,1107,1072,1070,1412,1221
1108,1642,1145,2984,1146,2212,1907,1221,2209,1412
1905,2175,1145,1146,2984,1642,2212,1907,1412,2209
226,74,2773,113,2811,227,72,3012,151,36
1241,1072,1238,1203,1277,1239,1315,1355,1240,1316
2942,1252,1442,1291,1288,1139,1101,1289,1253,1215
416,529,2934,414,341,531,339,302,492,493
1291,1252,1595,1442,1288,1139,1101,1289,1253,1215
1252,2942,1595,1442,1288,1139,1101,1289,1253,1215
2478,2474,2209,2437,2394,2433,2395,2477,2438,2476
1252,1595,1442,1291,1288,1139,1101,1289,1253,1215
1145,2212,1107,1108,1907,2984,1146,2209,1221,1412
1442,1250,1291,2942,1139,1288,1101,1289,1253,1215
2966,1238,1355,1315,1241,1239,1277,1316,1203,1240
2935,1412,1187,1146,1108,1070,1145,1072,1107,1221
1241,1317,1276,1355,1239,1277,1315,1240,1203,1316
1252,1595,1291,1442,1288,1139,1101,1289,1253,1215
3037,2942,1595,1252,1291,1139,1101,1289,1253,1215
1337,1263,1259,1070,1412,1261,1224,1223,1072,1221
1221,2477,2517,2515,2516,2479,2478,2518,1143,2553
1316,1238,1355,2966,1239,1263,1203,1277,1241,1240
2942,1252,1442,1288,1291,1139,1101,1289,1253,1215
113,227,72,2847,2810,151,3012,36,2773,2811
1252,1291,1595,1442,1288,1139,1101,1289,1253,1215
2942,1442,1252,1288,1139,1291,1101,1289,1253,1215
1642,1072,2209,1907,1107,1145,1108,1146,1221,1412
2966,1238,1315,1239,1355,1241,1316,1277,1203,1240
2942,1252,1291,1442,1288,1139,1101,1289,1253,1215
1595,1252,1291,1442,1288,1139,1101,1289,1253,1215
1252,1595,1442,1291,1288,1139,1101,1289,1253,1215
1252,1595,2942,1442,1288,1139,1101,1289,1253,1215
1276,1238,1277,1239,1317,1240,1203,1315,1355,1316
1595,1250,2942,1442,1288,1139,1101,1289,1253,1215
1239,1238,1315,1204,1316,2966,1277,1241,1203,1240
1595,1442,1252,1288,1291,1139,1101,1289,1253,1215
1595,1250,2942,1442,1288,1139,1101,1289,1253,1215
1250,1291,2942,1442,1288,1139,1101,1289,1253,1215
404,195,519,518,443,520,400,364,481,399
1291,1442,2942,1250,1139,1288,1101,1289,1253,1215
2395,1941,1408,2397,1445,1371,2433,1940,1902,2167
3025,913,1064,532,609,912,1026,950,988,951
1252,1291,1595,1442,1288,1139,1101,1289,1253,1215
2838,2669,2880,2804,2841,2879,2764,2842,2839,2667
1291,1252,492,493,2011,1595,1253,1289,1215,1101
1240,1108,1263,1187,1070,1355,2935,1071,1221,1072
1442,1252,1139,1288,2734,1291,1253,1289,1101,1215
173,404,519,518,443,400,520,364,481,399
2553,2439,2517,2514,2516,2478,2209,2438,2477,2476
949,947,1138,2942,1100,1291,1288,1250,1062,1101
2439,2764,2478,2849,2171,2476,2803,2438,2477,2209
1252,1442,2942,1288,1139,1291,1289,1101,1253,1215
493,2809,227,151,2847,3012,36,2810,2811,2773
302,3012,2847,2809,36,492,493,2811,2810,2773
1293,1484,1482,1444,2280,1026,2242,1445,1406,1483
1316,1238,1355,2966,1239,1263,1203,1277,1241,1240
2942,1252,1595,1442,1288,1139,1101,1289,1253,1215
1442,2942,1288,1252,1139,1291,1289,1101,1253,1215
1221,2935,1071,1315,1263,1239,1355,1240,1316,1072
1107,1070,1149,1187,1108,1412,1071,2935,1221,1072
1071,1145,1146,1107,1187,2935,1108,1412,1072,1221
1939,2167,2242,1293,1444,2280,1026,1406,1483,1445
1316,1355,1315,1238,1239,2966,1277,1203,1241,1240
1252,2942,1442,1291,1288,1139,1101,1289,1253,1215
3037,1139,1291,2011,1252,1595,1101,1289,1253,1215
1252,2942,1291,1442,1288,1139,1101,1289,1253,1215
1239,1315,1238,1316,1204,2966,1277,1241,1203,1240
2171,2212,2247,1143,1181,2984,2209,1410,1412,1221
1181,1221,2171,1143,1907,1905,2984,2212,1412,2209
1316,1355,1315,1238,1239,2966,1277,1203,1241,1240
439,3016,478,442,480,443,364,520,519,481
2553,2592,2478,2589,2514,2551,2667,2438,2477,2476
2514,2669,2589,2517,2478,2551,2476,2438,2667,2477
1315,1355,1238,1263,1239,2966,1203,1277,1241,1240
1064,1293,1444,1902,2280,1026,1408,1406,2167,1445
2847,2804,2881,2846,2842,2886,2848,2849,2880,2811
1252,2942,1291,1442,1288,1139,1101,1289,1253,1215
1316,1355,1315,1238,1239,2966,1203,1277,1241,1240
990,912,2280,1406,950,2167,1064,951,988,1026
1187,1143,1108,2212,1146,1145,1907,1221,2209,1412
453,529,414,341,2011,339,302,531,492,493
1143,1642,1905,1146,1907,2984,1221,2212,2209,1412
2879,2811,2849,2804,2886,2881,2838,2839,2842,2880
2476,2670,2842,2589,2666,2669,2839,2551,2477,2667
2934,453,529,414,341,339,531,302,492,493
1315,711,1165,2940,1164,1280,778,1279,1317,1316
1215,1289,339,1595,1101,302,531,2011,492,493
1204,1316,1315,1238,1239,2966,1277,1241,1203,1240
2439,2553,2516,2476,2171,2517,2438,2478,2477,2209
1188,2987,1146,1072,1412,1187,1108,1145,1070,1221
1595,1250,2942,1442,1288,1139,1101,1289,1253,1215
1204,1315,1316,1238,1239,2966,1277,1241,1203,1240
195,194,3009,230,153,400,173,345,228,399
1291,1442,1250,2942,1139,1288,1101,1289,1253,1215
1252,1139,1288,2942,1291,1250,1289,1215,1253,1101
1262,1223,1316,1355,1261,1239,1224,1240,1072,1263
2942,1252,1442,1291,1288,1139,1101,1289,1253,1215
1108,1145,1146,1642,1221,2212,2984,1907,2209,1412
2589,2517,2551,2478,2516,2514,2438,2553,2477,2476
1238,1204,1239,1315,1316,2966,1241,1277,1203,1240
1252,1595,1291,1442,1288,1139,1101,1289,1253,1215
2211,1146,1145,2175,1143,2171,2212,1907,1412,2209
3037,1288,1252,2942,1139,1291,1289,1101,1253,1215
1070,1239,1316,1263,1355,1240,2935,1221,1071,1072
74,71,34,227,73,151,113,3012,72,36
67,35,71,33,113,34,73,37,72,36
1145,1221,1905,1146,1642,2984,2212,1907,1412,2209
1907,1145,1410,1108,1107,2984,1146,2209,1221,1412
2438,2476,1371,1067,1940,2209,1181,1221,1143,2167
1408,1484,1026,2280,2242,1444,1293,1406,1445,1483
1484,1482,2280,1026,1293,1444,2242,1406,1445,1483
1595,1250,2942,1442,1288,1139,1101,1289,1253,1215
453,2934,529,414,341,531,339,302,492,493
1905,2171,2247,1143,1181,1221,1410,2984,1412,2209
520,193,121,156,196,154,116,155,119,152
1203,519,1165,1276,1279,1314,481,520,1317,1316
1252,2942,1291,1442,1288,1139,1101,1289,1253,1215
1139,1289,1291,1062,1288,2942,1215,1250,1253,1101
2439,2437,2209,2553,2514,2478,2516,2477,2438,2476
1595,2942,1291,1442,1288,1139,1101,1289,1253,1215
2942,1595,1291,1442,1288,1139,1101,1289,1253,1215
2247,1062,1374,2984,1336,2209,1373,1221,1412,1410
1293,1484,1482,1444,2280,1026,2242,1445,1406,1483
2966,1316,1203,1239,1277,1238,1355,1241,1263,1240
2942,1595,1291,1442,1288,1139,1101,1289,1253,1215
1595,1252,1442,1288,1291,1139,1101,1289,1253,1215
1072,1241,1238,1315,1316,1355,1277,1239,1240,1263
2966,1315,1316,1238,1277,1241,1239,1355,1240,1263
1252,1250,2942,1442,1288,1139,1101,1289,1253,1215
1143,1868,2517,1907,2478,2438,2477,2171,1905,2209
1277,1315,1239,1316,1355,1221,1240,2935,1071,1072
2942,1252,1595,1442,1288,1139,1101,1289,1253,1215
1145,1071,1146,1187,1107,2935,1108,1072,1412,1221
2438,2170,2477,2984,2212,1412,2171,1143,1905,2209
1149,1107,1412,1187,1070,1108,1071,2935,1221,1072
1408,1484,1026,2280,2242,1444,1406,1293,1445,1483
1025,1252,1100,1288,1289,2983,2697,1291,1062,1101
1071,1355,1239,1223,1240,1261,1072,1224,1262,1263
1030,1066,1032,1102,1068,1107,1069,1070,1072,1221
2942,1288,1595,1291,1252,1139,1101,1289,1253,1215
2848,2770,492,493,2998,2809,2847,2811,2773,2810
1107,2212,1108,1181,1143,2209,1146,1145,1412,1221
1371,1064,2280,1940,1406,1902,1026,1408,2167,1445
1291,1289,2998,2770,2697,2773,2809,1101,2734,2810
2942,3037,1288,1139,1252,1291,1253,1215,1289,1101
1187,1642,1907,1072,1108,1146,2984,1410,1221,1412
3037,1252,1288,2942,1250,1253,1062,1289,1291,1101
1026,2280,1484,1482,1444,1293,2242,1406,1445,1483
1521,1484,1444,1482,2280,1026,2242,1445,1406,1483
2811,2770,2733,2983,2735,2771,2697,2772,2809,2773
1214,1291,2942,3015,1250,604,1253,607,1101,643
1108,1145,2212,1146,1107,1143,1181,2209,1412,1221
1355,1203,1262,1239,1238,1277,2966,1241,1240,1263
1288,2942,3037,1139,1252,1215,1253,1291,1289,1101
2942,1442,1252,1288,1291,1139,1101,1289,1253,1215
403,443,519,173,400,518,520,481,364,399
1203,1355,1239,1238,1277,2966,1262,1241,1240,1263
2998,2808,2772,2770,2773,2809,2810,2697,1101,2734
1203,1241,1238,1315,1277,1355,1316,1239,1240,1263
1143,1146,2171,2984,1905,1642,2212,1907,1412,2209
3037,1288,2942,1252,1139,1291,1289,1101,1253,1215
610,573,608,988,912,950,532,571,609,951
1521,1484,1444,1482,2280,1026,2242,1445,1406,1483
1224,1337,1355,2935,1412,1221,1240,1071,1072,1263
2984,2212,1107,1145,1108,1907,1146,2209,1221,1412
2211,1642,1143,2175,1412,2171,2212,1905,1907,2209
2281,1482,1444,988,1445,2280,2242,1406,1026,1483
1143,1108,1181,2212,1907,1145,1146,2209,1221,1412
2175,1143,2171,1642,1905,2212,2984,1907,1412,2209
1294,1026,2242,2280,1408,1444,1406,1293,1483,1445
1291,1442,1252,1288,1595,1139,1101,1289,1253,1215
1315,1239,1316,1355,1238,2966,1277,1241,1203,1240
3037,1139,1253,2734,1252,1288,1215,1291,1289,1101
2172,1143,2171,1642,2212,1907,1905,2984,1412,2209
1905,2212,1181,2020,2247,1221,2209,1412,2984,1410
1442,1291,1252,1595,1288,1139,1101,1289,1253,1215
1291,492,1252,493,2011,1595,1253,1289,1215,1101
1291,2983,2810,1062,2772,2773,2809,2697,1101,2734
1315,1239,1238,1010,1204,1277,2966,1241,1203,1240
2966,1238,1241,1315,1239,1203,1277,1355,1316,1240
416,529,2934,341,414,531,302,339,492,493
1291,1252,1442,1595,1288,1139,1101,1289,1253,1215
1181,1907,2247,1221,1905,2212,1410,2984,2209,1412
1521,1484,1444,1482,2280,1026,2242,1445,1406,1483
529,416,341,2934,414,531,302,339,492,493
1070,1145,1410,1187,1107,1146,1108,1072,1221,1412
2942,3037,1139,1252,1288,1291,1253,1215,1289,1101
2942,3037,1139,1595,1252,1291,1289,1101,1253,1215
1315,2966,1238,1241,1355,1239,1277,1072,1263,1240
2171,2247,1905,1143,1181,1410,1221,1412,2984,2209
1316,1315,1239,1238,1204,1277,2966,1241,1203,1240
1642,1107,1145,1187,2935,1146,1108,1072,1221,1412
2942,1288,1291,1252,1595,1139,1101,1289,1253,1215
1143,1181,2212,1905,2247,1221,1410,2984,2209,1412
3025,647,570,608,610,573,494,571,532,609
2516,2592,2478,2589,2514,2667,2551,2438,2477,2476
3037,2942,1291,1252,1139,1595,1101,1289,1253,1215
1642,1143,2171,1410,1907,2212,1905,2984,1412,2209
2207,1941,2984,1371,2433,2397,1940,2209,1902,2167
1902,1406,1410,1444,1220,2245,1371,1293,1408,1445
1902,1220,2984,1940,1221,1410,2245,1371,1445,1408
2175,2984,1143,1642,2171,2212,1905,1907,1412,2209
529,416,2934,341,414,531,302,339,492,493
2942,1252,1442,1595,1288,1139,1101,1289,1253,1215
74,34,71,227,73,113,151,3012,72,36
1316,1315,1239,1238,1204,1277,2966,1241,1203,1240
1238,1239,1262,1224,1264,1240,1316,1303,1355,1263
1393,1337,1355,1412,2935,1221,1240,1071,1072,1263
1238,1315,1355,1316,2966,1239,1241,1203,1277,1240
1252,1250,2942,1442,1288,1139,1101,1289,1253,1215
1181,1221,2171,1905,1907,1143,2984,2212,1412,2209
1288,3037,2942,1139,1252,1291,1289,1215,1253,1101
1291,1252,1442,1595,1288,1139,1101,1289,1253,1215
1484,1521,1482,1444,2280,1445,2242,1026,1406,1483
2983,2697,1373,1374,1410,1336,1221,1101,1062,1412
1868,1642,2984,1143,2171,1907,2212,1412,1905,2209
1442,1291,1288,1252,1595,1139,1101,1289,1253,1215
1238,1315,1316,1010,1277,1204,2966,1241,1203,1240
2942,1288,1595,1291,1252,1139,1101,1289,1253,1215
1355,1315,1238,1239,1316,2966,1277,1241,1203,1240
1291,1250,2942,1442,1288,1139,1101,1289,1253,1215
2934,414,416,529,341,531,302,339,492,493
1642,1143,1905,1146,1907,1221,2212,2984,2209,1412
116,304,155,154,230,153,573,228,152,345
1642,1187,1907,1145,1107,1072,1108,1146,1221,1412
1238,1010,1315,1316,1204,1277,2966,1241,1203,1240
1187,1315,1149,1221,1316,1240,1355,1071,2935,1072
1355,1315,1010,1277,2966,1316,1241,1204,1240,1203
1291,2942,1252,1442,1288,1139,1101,1289,1253,1215
1595,2942,1250,1442,1288,1139,1101,1289,1253,1215
798,876,2985,1102,953,914,913,912,950,951
1239,1355,1204,1315,2966,1241,1316,1277,1203,1240
2171,1143,1221,1907,1410,1905,2212,2984,1412,2209
1102,838,798,913,953,876,914,950,912,951
2808,1291,2770,2772,2810,2773,2809,2734,2697,1101
529,416,341,2934,414,531,302,339,492,493
416,529,2934,414,341,531,339,302,492,493
2811,2998,2734,2808,2697,2772,2770,2773,2809,2810
1145,1410,1181,1146,1907,1143,2212,1221,2209,1412
1870,2984,2175,2171,1642,2212,1412,1905,1907,2209
1145,2175,1146,1905,2984,2212,1642,1907,2209,1412
2772,2808,2998,2770,2773,2697,2809,1101,2734,2810
1252,2942,1595,1442,1288,1139,1101,1289,1253,1215
529,416,341,2934,414,531,302,339,492,493
1484,1293,1482,2280,1444,1026,2242,1406,1445,1483
1145,1412,1187,1107,1108,1070,1071,2935,1221,1072
1276,1241,1204,1317,1277,1355,1315,1240,1203,1316
1868,1642,1143,2171,2984,1907,2212,1905,1412,2209
3037,1139,1291,2011,1252,1595,1289,1253,1101,1215
529,416,2934,341,414,531,302,339,492,493
196,155,399,194,230,154,228,345,153,152
2175,1108,1145,2984,1146,2212,1642,1907,2209,1412
2966,1241,1238,1239,1277,1355,1315,1203,1316,1240
1241,1072,1238,1203,1315,1355,1277,1239,1316,1240
492,493,72,2810,227,2811,151,2773,3012,36
1107,1355,1149,1070,1108,1187,1071,2935,1221,1072
1442,1291,1252,1288,1595,1139,1101,1289,1253,1215
2171,2438,2477,2515,1181,2476,1221,2478,2516,1143
1239,1010,1204,2966,1241,1315,1277,1316,1240,1203
2942,1288,1595,1252,1291,1139,1101,1289,1253,1215
2212,2247,1905,1143,1181,1221,1410,2984,1412,2209
529,453,2011,414,341,339,531,302,492,493
2517,2439,2437,2171,2516,2478,2209,2438,2477,2476
1252,2942,1595,1442,1288,1139,1101,1289,1253,1215
1204,1239,2966,1355,1241,1315,1277,1316,1203,1240
1221,1181,1907,2171,1143,1905,2212,2984,1412,2209
2942,3037,1291,1139,1252,1595,1101,1289,1253,1215
1442,1252,1595,1291,1288,1139,1101,1289,1253,1215
1442,2942,1252,1288,1291,1139,1101,1289,1253,1215
33,37,71,34,151,73,3012,113,72,36
1252,2942,1291,1442,1288,1139,1101,1289,1253,1215
1355,1204,2966,1276,1241,1315,1277,1316,1240,1203
1252,2942,1291,1442,1288,1139,1101,1289,1253,1215
1315,1239,1238,2966,1316,1355,1277,1241,1203,1240
2942,1252,1442,1595,1288,1139,1101,1289,1253,1215
1143,1181,1070,1146,1108,1072,1145,1412,1107,1221
2764,2881,2841,2879,2804,2838,2880,2667,2842,2839
1108,1187,1355,2379,1240,2935,1221,1412,1071,1072
2091,1444,2167,1064,2280,2242,1483,1406,988,1026
1595,1291,2942,1442,1288,1139,1101,1289,1253,1215
73,82,114,48,87,34,79,85,35,37
1165,1315,1010,1240,1204,1317,1314,1276,1203,1316
1316,1108,1187,1149,1355,1240,1221,2935,1071,1072
1143,1642,1905,1146,1221,2984,1907,2212,1412,2209
3037,2011,1139,1291,1252,1595,1289,1101,1253,1215
1263,1238,1203,1315,1277,1072,1355,1239,1316,1240
1291,2942,1595,1442,1288,1139,1101,1289,1253,1215
2848,2804,2838,2849,2881,2811,2839,2886,2842,2880
533,647,610,152,609,571,345,573,494,532
1291,1442,1252,1288,1595,1139,1101,1289,1253,1215
1108,1221,1145,2212,1146,2984,2209,1642,1907,1412
74,34,71,227,73,113,151,3012,72,36
2439,1143,2517,2516,2171,2478,2476,2438,2477,2209
1252,1250,2942,1442,1288,1139,1101,1289,1253,1215
443,1010,480,520,519,1276,1314,1316,1203,481
529,416,341,2934,531,414,302,339,492,493
1442,1288,1252,1595,1291,1139,1101,1289,1253,1215
610,571,950,608,3025,570,532,951,988,609
1107,2516,1412,2477,2478,2209,2171,1181,1221,1143
2281,1293,1482,1444,2280,2242,1026,1445,1406,1483
1221,2935,1315,1071,1239,1263,1240,1355,1316,1072
1252,1291,1595,1442,1288,1139,1101,1289,1253,1215
439,1314,711,480,364,443,519,1316,520,481
1250,1288,2942,1252,1139,1291,1289,1101,1253,1215
1263,1317,1277,1238,1203,1239,1315,1240,1355,1316
1252,2942,1442,1291,1288,1139,1101,1289,1253,1215
1412,1107,1108,1223,1187,2935,1071,1070,1072,1221
1238,1355,1239,2966,1241,1315,1277,1316,1203,1240
1355,1238,1315,1239,1316,2966,1241,1277,1203,1240
1071,2935,1070,1146,1187,1107,1108,1072,1412,1221
2175,1143,1642,2171,2984,1905,2212,1907,1412,2209
1442,1595,1288,1252,1291,1139,1101,1289,1253,1215
2934,453,529,414,341,339,531,302,492,493
1521,1484,1482,1444,2280,1026,2242,1445,1406,1483
1187,1107,2209,1145,1108,1146,1642,1907,1221,1412
1521,1484,1482,1444,2280,1026,2242,1445,1406,1483
1252,1595,2942,1442,1288,1139,1101,1289,1253,1215
1315,1203,1238,1277,1241,1239,1316,1355,1263,1240
2170,2212,2438,2477,2984,1412,2171,1905,1143,2209
529,416,341,414,2934,531,302,339,492,493
1595,1252,1442,1288,1291,1139,1101,1289,1253,1215
1146,1221,2171,1143,1905,1907,2984,2212,1412,2209
2207,2020,2247,1143,1181,2209,2984,1410,1412,1221
2246,1940,1412,2245,2209,2984,1408,1221,1410,1371
1442,1595,1288,1252,1291,1139,1101,1289,1253,1215
1252,2942,1291,1442,1288,1139,1101,1289,1253,1215
2438,2478,1868,1143,2212,2477,1907,2171,1905,2209
3009,443,403,195,481,364,518,173,400,399
2942,1288,1291,1252,1595,1139,1101,1289,1253,1215
520,1201,1315,1165,481,1317,1276,1314,1203,1316
1484,1482,1026,2280,1293,1444,2242,1406,1445,1483
1277,1241,1303,1262,1238,1316,1239,1355,1240,1263
1317,1238,1241,1239,1355,1277,1315,1240,1203,1316
1241,1315,1238,1072,1316,1277,1239,1355,1263,1240
2965,85,154,78,115,152,155,116,79,114
2020,2212,2247,1143,1181,2209,2984,1410,1412,1221
2880,2669,2438,2666,2839,2589,2476,2551,2477,2667
85,114,73,45,87,88,29,34,35,37
2167,1293,2242,1444,1064,2280,1483,1406,1445,1026
1595,1252,2942,1442,1288,1139,1101,1289,1253,1215
1521,1484,1444,1482,2280,2242,1026,1445,1406,1483
573,988,570,571,951,494,608,3025,532,609
1521,1484,1444,1482,2280,1026,2242,1445,1406,1483
2175,1143,2984,2171,1642,2212,1905,1907,1412,2209
2211,2171,2175,2984,1905,1642,2212,1907,1412,2209
1107,2984,1145,1108,1642,1146,2209,1907,1221,1412
1291,1250,2942,1442,1288,1139,1101,1289,1253,1215
2175,1868,2517,2438,2478,2477,1907,2171,1905,2209
2438,2477,2170,2984,2212,1412,1143,2171,1905,2209
1145,1107,1070,1187,1108,1071,2935,1412,1072,1221
1149,1355,1223,1108,1187,1070,1071,2935,1221,1072
1642,2935,1072,1187,1907,1108,1146,1145,1221,1412
1069,1182,1108,1145,1143,1072,1181,1070,1107,1221
1241,1263,1238,1277,1239,1203,1315,1355,1316,1240
1291,1252,1595,1442,1288,1139,1101,1289,1253,1215
1442,2942,1288,1252,1139,1291,1101,1289,1253,1215
1221,1071,1239,1263,1240,1315,2935,1355,1316,1072
1442,1252,1291,1288,1595,1139,1101,1289,1253,1215
1238,1263,1071,1315,1277,1355,1316,1239,1240,1072
1442,1252,1291,1595,1288,1139,1101,1289,1253,1215
