,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
164,1669,2989,1975,2956,2013,1633,1367,1748,1709,1708
165,2956,1671,1785,1669,2013,1633,2050,1708,1748,1709
166,363,364,365,367,404,439,478,479,542,3032
167,2050,1248,1062,1634,1748,1671,1709,1785,1633,1708
168,2586,951,2509,2471,2585,2433,2547,989,2472,2510
169,574,761,762,763,875,2395,2433,2472,2510,3026
170,1786,2014,2011,2956,2013,1671,1633,2050,1708,1709
171,2753,2670,2796,2794,2706,2668,2627,2751,2666,2792
172,455,569,377,532,341,378,530,380,342,379
173,1124,1077,1125,1085,1681,1083,2952,1720,1087,1683
174,380,836,2692,912,2984,1062,1026,1063,2728,2767
175,442,475,478,479,507,514,542,544,3012,3032
176,2591,2586,2600,2669,2627,2628,2626,2601,2629,2668
177,1778,1097,1402,720,1223,1779,988,1059,1025,1063
178,2601,2986,913,2626,1063,2668,2669,2733,2547,2984
179,836,1708,912,1671,988,1026,341,1063,1062,2767
180,2935,76,112,342,72,75,108,110,152,2933
181,112,2935,342,72,76,75,108,110,152,2933
182,2282,1939,2243,989,1483,1521,1559,1597,1635,2244
183,1124,2952,2977,1681,1087,1083,1163,1683,1718,1720
184,1973,380,1748,2956,948,2013,2050,1633,1709,1708
185,415,379,719,835,836,569,1063,2356,380,454
186,1158,1160,1162,1645,1083,1087,1123,1683,1720,2952
187,1126,1078,1077,1049,1083,1114,2952,1681,1087,1683
188,1083,1078,1385,1077,2530,709,1683,1114,1087,673
189,951,2473,2433,2550,2513,2471,2472,989,2510,2547
190,1126,2977,1681,1125,1087,1083,1683,1720,1124,1163
191,1786,1062,1671,912,341,1709,1708,1026,2050,380
192,455,454,532,646,378,644,530,380,3016,379
193,2956,1786,2011,2013,1633,1671,1748,2050,1708,1709
194,1346,1158,1458,1082,1083,1305,1345,1038,1496,1077
195,1255,951,2207,802,2015,989,2931,765,2244,1939
196,1953,1078,1035,1075,1916,1072,1991,1566,1954,1114
197,1682,1718,1681,1126,1683,1720,1724,1083,1087,2952
198,329,364,365,367,406,442,479,673,328,363
199,2589,2598,2669,2590,2627,2665,2666,2591,2667,2668
200,2519,2552,2561,2598,2600,2601,2603,2629,2642,2668
201,1737,2977,1077,1087,1085,1120,1718,1720,1158,1083
202,2513,2433,2244,951,2281,2471,2472,2510,989,2547
203,109,75,114,76,108,152,72,110,112,2933
204,948,1671,380,2956,2013,1669,1633,2050,1709,1708
205,1125,2952,286,1126,1083,1087,287,1683,1124,1681
206,762,876,685,2473,914,2433,2624,913,2472,2510
207,2562,2603,1739,2598,3039,1077,765,1128,2601,673
208,418,339,376,377,341,378,380,342,2935,379
209,1076,1071,1077,1916,2936,1051,1335,1075,1078,1114
210,2823,2740,2818,2751,2831,72,2776,2865,2861,2860
211,2665,2706,2627,2670,2629,2589,2591,2667,2666,2668
212,415,339,376,377,341,378,380,342,2935,379
213,204,238,364,479,514,544,328,365,541,542
214,2933,376,152,377,380,378,341,342,2935,379
215,1163,1125,1681,1083,1087,1124,1126,1683,1720,2952
216,2668,3039,2598,2669,2210,2519,2562,2485,2600,2601
217,1372,619,2600,919,2987,2481,653,729,2480,2518
218,2989,1632,1367,2013,2050,1785,1633,1748,1709,1708
219,1126,1718,1085,1682,1087,1720,1120,1158,2952,1083
220,367,400,401,403,404,440,503,504,3012,3032
221,948,1975,1367,2013,836,1709,1708,1248,380,1026
222,1299,1025,2728,1057,1630,1063,988,719,949,1628
223,1085,1087,1120,1158,1160,1162,1645,1683,1720,2952
224,1063,2050,1709,1786,1062,2767,1708,1026,912,1671
225,1335,1644,1953,1991,1113,1075,1916,1954,1078,1114
226,2668,2598,653,2712,2601,2751,2792,2513,2669,2986
227,1683,1123,1125,1083,709,1087,2941,673,710,1124
228,1026,2124,1633,912,1786,2011,1671,2050,1708,1709
229,2562,2210,2485,653,1739,1776,2600,2601,3039,1738
230,3016,836,835,379,415,719,380,1063,569,454
231,1125,1124,1085,1049,1126,2952,1083,1681,1087,1683
232,72,75,76,108,109,110,112,114,152,2933
233,81,153,158,118,137,43,5,61,72,156
234,1051,1953,1644,2936,1954,1916,1075,1991,1078,1114
235,709,2952,1080,745,1655,1075,782,1078,2941,1114
236,762,876,878,2433,2471,2472,2473,2509,2510,2587
237,1521,2207,1559,2281,1978,951,1522,2244,1636,989
238,2015,2207,1483,1521,2244,989,1559,1597,1635,1636
239,1785,1975,1633,380,2013,1367,2050,1748,1708,1709
240,456,418,376,377,378,341,380,342,2935,379
241,2931,2244,2169,1293,2281,1294,1256,1939,1978,951
242,404,544,161,239,541,365,204,238,479,542
243,542,673,3017,133,161,238,239,329,365,479
244,2127,1671,1708,1709,1748,1786,2011,2048,2050,2088
245,1415,982,1398,1778,1063,1057,1627,1703,1077,1628
246,876,878,2627,2662,2435,2590,2663,2472,2628,2471
247,2956,1669,1671,2013,2011,1633,1708,1748,1709,2050
248,1786,2011,2956,2013,1671,1633,1748,1708,2050,1709
249,2056,1063,988,1447,1294,2244,1978,1256,1939,2767
250,1636,2243,989,1483,1559,1597,1635,1939,2207,2244
251,1482,1083,1345,1223,1058,1305,1741,1130,1166,1077
252,1669,2011,2956,1671,2013,1633,1708,2050,1709,1748
253,988,2050,341,1062,1709,380,1708,1671,912,1026
254,1735,1946,1957,1963,1993,2000,2340,2941,2952,3000
255,1077,1163,1120,1087,1158,1085,2977,1083,1718,1720
256,2989,1633,2956,380,1367,1748,1975,2013,1709,1708
257,2369,2557,2600,2485,2560,824,2642,2601,2561,2366
258,1049,1085,1125,1126,1083,1124,1681,2952,1087,1683
259,380,2013,1367,1633,2050,1669,2956,948,1709,1708
260,1158,1083,1385,2952,1049,1087,1683,1077,1078,1114
261,2133,2366,2249,1031,1032,878,2323,1035,2169,951
262,1162,1681,1083,1114,1720,1077,1158,1087,1683,2952
263,1521,2931,1027,1978,2281,2244,951,1522,1636,989
264,112,645,152,72,2767,75,653,949,108,2933
265,1650,1718,1723,1077,1120,1655,1720,1724,1158,2952
266,517,543,445,578,515,617,589,479,618,2965
267,2013,605,646,912,569,948,644,1026,380,3016
268,72,112,76,2935,75,342,152,110,379,2933
269,982,2600,2964,2521,2520,2598,653,2601,2562,2485
270,2471,2472,2473,2509,2510,2547,2548,2549,2585,2586
271,2691,2692,2728,2730,2734,2735,2736,2767,2772,2984
272,1292,2950,910,1063,1134,1367,2086,2124,1026,2050
273,2037,2036,2074,3005,2077,1728,1689,1954,1687,1726
274,619,2950,655,2124,977,656,1820,624,585,2961
275,2207,2208,2243,2244,2281,2282,2320,2931,2960,3039
276,2169,2207,2243,2244,2282,2320,2931,2959,2960,3039
277,2767,1062,2124,2090,5,108,147,149,1026,1134
278,1781,1747,624,655,585,1821,1784,1134,1742,2961
279,482,824,1991,783,2366,2941,745,703,1954,782
280,2076,1996,1240,1728,2078,1773,1391,1687,1726,2077
281,1026,1062,1063,1134,1402,1745,1784,2086,2124,2950
282,2014,910,1214,1252,1633,1937,1972,1974,2050,2943
283,365,438,364,517,374,328,656,401,400,363
284,1728,2076,2078,1240,1996,1773,1391,1687,1726,2077
285,1367,1402,2086,2124,2128,2162,2166,2203,2692,2950
286,1963,2264,2298,2300,2302,2336,2375,2941,2961,3000
287,1991,1112,2936,2036,1916,1687,1954,1726,1078,1114
288,2013,1062,1975,3016,1974,2014,836,2050,910,1026
289,39,649,192,3026,87,88,229,137,154,1
290,2167,2169,2207,2243,2244,2282,2320,2931,2959,3039
291,1996,2078,2074,1728,1391,1773,1687,1689,1726,2077
292,1995,1385,2936,1112,1726,1077,1080,1075,1078,1114
293,3005,1687,1728,1992,2936,1108,2036,1991,1954,1726
294,2207,2243,2472,1445,875,913,951,989,2244,2471
295,2407,2601,693,652,1108,1737,2369,1738,3023,653
296,3005,1300,1693,1916,1114,2036,1687,1689,1954,1726
297,1028,1256,1217,1293,2281,1144,1726,1027,951,989
298,1557,1214,1248,1365,2050,1026,1252,3016,1367,380
299,1272,629,1203,1278,1681,1752,1242,1280,1810,2967
300,1975,910,1026,1062,1063,1292,1367,2050,2086,2124
301,1032,1693,1991,1687,2036,1035,3005,1726,1689,1954
302,1222,1032,1737,3005,1991,1992,1035,1726,1689,1954
303,1254,1248,2943,1633,1214,1251,2050,910,1367,1252
304,570,644,530,569,378,646,380,342,3016,379
305,2050,2086,2090,2124,2128,2203,2690,2692,2767,2950
306,629,1203,1205,1240,1241,1242,1278,1681,1810,2967
307,1083,1163,1087,1125,1124,2952,324,1681,1720,1683
308,378,569,341,455,530,570,380,342,2935,379
309,1026,1214,2956,2050,1248,1633,1669,1367,1709,1708
310,2036,1031,1991,1260,1032,1726,1035,3005,1689,1954
311,2129,2167,2169,2207,2243,2244,2282,2320,2931,2959
312,456,418,569,455,570,530,380,2935,379,342
313,1995,1991,1112,1955,1996,2936,1078,1114,1687,1726
314,988,2124,910,1026,1062,1063,1292,1367,2050,2086
315,2014,569,646,1975,605,836,644,570,1026,3016
316,2076,1728,1996,1685,1773,1681,1391,2077,1726,1687
317,1260,954,689,1031,1027,1032,1035,1991,1222,951
318,1203,1810,1242,1280,287,629,2967,1124,1683,1681
319,1422,1424,1071,1049,1080,1112,1726,1078,1385,1114
320,1026,2050,1974,1558,2318,380,1252,1254,910,3016
321,1031,1262,1073,1726,3005,1260,1032,1689,1035,1954
322,46,649,138,41,39,1,88,192,87,154
323,2751,2600,2667,2792,2485,2589,2627,2601,2629,2668
324,1973,2050,605,1974,912,1026,644,910,2014,3016
325,1032,1693,1913,2036,1687,1035,3005,1726,1689,1954
326,2509,2244,2561,2433,2547,951,2472,2281,989,2510
327,1737,1689,1256,951,952,2281,1728,913,1991,1726
328,913,1260,1726,1144,1222,1027,1991,2281,1256,951
329,1916,2036,1991,1072,1075,1300,1335,1954,1566,1114
330,418,569,456,455,380,570,530,2935,342,379
331,1248,1937,1251,1254,1367,2050,910,1214,1252,2943
332,109,112,72,75,76,108,110,114,152,2933
333,287,1280,1203,1242,1124,1810,629,2967,1683,1681
334,1642,1515,1415,1077,1305,1343,1600,1741,1434,1486
335,1996,2078,1728,2074,1391,1773,1687,1689,1726,2077
336,2952,1126,1125,1083,1720,324,1087,1681,1683,1124
337,1026,2050,1709,1248,1669,1252,1365,1214,380,1367
338,1953,1108,1726,1075,2407,1566,1992,2366,1114,1991
339,2767,683,835,1025,719,1134,3016,1026,1062,1063
340,948,2970,2013,1558,1026,1974,1367,1557,2050,380
341,1483,1522,2167,2282,989,1446,1939,2207,2243,2244
342,1063,1108,652,1434,2369,2407,1738,949,2767,653
343,2450,1604,1693,1032,1073,1991,1031,1689,1035,1954
344,1214,1558,1251,2943,2050,910,380,1367,1254,1252
345,1241,629,1203,1205,1238,1242,1278,1280,1810,2967
346,910,1252,644,1367,1558,948,1254,1026,380,3016
347,1168,1083,1126,1087,2952,1125,1720,1124,1681,1683
348,1252,1633,1785,1708,1748,1026,1669,1709,2050,1367
349,377,379,569,532,374,2935,342,455,530,570
350,1952,1953,2997,782,1644,745,1078,1916,1954,1114
351,202,204,126,163,167,238,239,313,3032,165
352,2936,1071,1075,1080,1726,1077,1112,1385,1078,1114
353,1126,2941,1083,818,1087,1123,673,710,1125,1124
354,1083,673,1125,286,2952,1087,1124,1681,324,1683
355,698,630,1357,1124,1205,673,1356,1083,661,1168
356,1026,1214,380,1254,2943,1251,2050,910,1367,1252
357,2050,1210,1212,1248,1254,2943,1251,1214,1252,1367
358,479,586,2965,443,549,686,3023,618,517,685
359,1168,1163,818,1087,710,1123,1125,1083,673,1124
360,1073,2036,1300,3005,1032,1031,1035,1726,1689,1954
361,510,479,586,543,649,237,549,305,165,3023
362,719,108,2809,2984,1026,2844,1062,1063,2728,2767
363,456,569,418,455,530,570,380,2935,342,379
364,418,376,456,377,378,341,342,380,2935,379
365,2767,2768,2769,2770,2771,2772,2808,2811,2938,2984
366,2988,729,2518,2480,653,2369,1335,2407,1372,2402
367,1648,3005,1915,1114,1916,1687,1693,1726,1689,1954
368,1728,1114,1693,2036,2034,2074,1954,1689,1726,1687
369,2470,2651,2690,2691,2692,2693,2728,2733,2734,2767
370,1365,1026,1214,948,2956,380,1669,1708,1367,1709
371,456,418,455,569,380,570,530,2935,342,379
372,1446,1559,1597,1635,1636,1939,989,1483,2207,2244
373,1049,1683,710,1077,2530,709,2941,673,1078,1114
374,1049,365,590,1130,675,561,2532,673,698,1083
375,1073,1031,1992,1072,1114,1032,1035,1566,1954,1991
376,418,644,378,532,453,569,530,646,570,3016
377,455,341,378,570,456,418,380,2935,342,379
378,174,192,204,239,88,93,130,154,165,238
379,1078,1693,1114,2034,2077,1954,2074,1689,1726,1687
380,1125,818,823,711,709,710,1087,1083,1124,673
381,711,324,1683,709,1083,2941,710,1087,673,1124
382,2935,112,342,72,76,108,75,110,152,2933
383,1077,1085,1049,1083,1124,1681,673,1087,1683,324
384,1975,1252,1557,1026,1974,1367,1558,1254,3016,380
385,733,686,202,671,615,201,482,703,685,876
386,324,698,818,817,729,2941,673,709,710,1124
387,1975,2013,569,644,912,948,570,1026,380,3016
388,3005,951,1992,1991,1260,1222,1073,1031,1032,1035
389,75,2933,110,378,152,342,341,2935,380,379
390,2509,2586,2510,2472,2627,2561,951,2601,2629,2668
391,1748,2956,948,1669,1633,2013,1708,2050,380,1709
392,710,818,1168,1087,729,698,1123,673,1083,1163
393,1075,1031,1036,1528,1300,1072,1114,1035,1566,1032
394,948,1026,1974,605,380,644,569,570,646,3016
395,912,1026,1558,1709,948,2013,3016,2050,1708,380
396,874,2013,1557,836,1063,1558,1975,948,1026,380
397,156,112,72,75,76,108,110,114,152,2933
398,2970,1558,1708,1974,948,1026,2013,1557,2050,380
399,783,632,817,287,698,2941,324,710,673,709
400,1936,2956,1557,1975,2050,948,1709,2013,1708,380
401,1120,1159,1129,1166,1130,2977,1083,1720,1163,1168
402,1633,910,2050,380,1365,1251,1248,1214,1252,1367
403,514,2532,204,541,1114,712,779,709,543,673
404,2666,2795,2667,2752,2788,2790,2668,2706,2792,2751
405,1781,1728,2078,2074,1391,1773,1687,1689,1726,2077
406,913,2395,2473,2509,2433,2585,2586,2471,2472,2510
407,2956,948,1669,2013,380,1748,1633,2050,1708,1709
408,86,117,138,153,154,156,191,192,230,2928
409,484,555,328,366,655,400,694,485,523,656
410,1125,1385,1085,1126,1049,1083,1087,324,1681,1683
411,745,1644,782,1953,1916,1078,1992,1954,1991,1114
412,531,606,568,532,646,644,530,569,570,3016
413,710,1720,324,1083,1125,1683,1087,1163,673,1124
414,1669,1026,948,2013,1974,1367,1708,1709,2050,380
415,2737,71,114,76,2984,108,112,2933,110,72
416,126,165,119,125,138,153,87,88,154,192
417,2050,1248,1251,910,1365,1214,1254,380,1252,1367
418,2037,2077,2036,2034,1114,2074,1954,1689,1687,1726
419,109,72,75,76,108,110,112,114,152,2933
420,2670,2600,2706,2751,2561,2485,2668,2557,2560,2601
421,2956,2013,2050,1669,1633,1785,1367,1748,1708,1709
422,400,439,478,698,818,364,328,363,365,673
423,494,377,341,378,456,418,380,342,2935,379
424,2013,912,569,1708,341,1026,948,644,380,3016
425,87,229,343,344,88,382,269,307,384,305
426,915,687,2434,761,2472,685,2473,762,878,876
427,1027,2433,2395,2244,951,2471,2472,2510,2547,989
428,1124,1158,1123,1077,1083,1683,673,1087,2952,1720
429,912,2956,948,1633,2013,1669,380,1708,1709,2050
430,161,658,364,328,479,239,238,365,656,363
431,2944,2084,719,2943,1216,415,380,1063,569,454
432,1087,1168,2532,1123,2530,1167,673,1083,1130,1163
433,1671,949,1062,1063,912,341,1708,2050,1026,380
434,1120,2941,1718,1735,1650,1655,1720,782,1158,2952
435,1085,1162,709,1120,673,710,1083,1087,1123,1124
436,286,1085,287,324,710,1083,1087,1124,1126,1683
437,1681,1655,1158,1049,1959,1683,1077,2952,1078,1114
438,1954,1051,1300,1071,1113,1916,1075,1335,1078,1114
439,644,1974,1557,1558,2013,1026,948,1975,3016,380
440,456,152,376,377,378,341,342,2935,380,379
441,1446,1483,1559,1597,1635,1939,2207,2243,2244,2282
442,1422,1075,1071,2936,1112,1687,1385,1726,1078,1114
443,989,1446,1483,1559,1597,1635,1939,2207,2243,2244
444,1365,1248,1557,1709,1974,1252,1026,2050,1367,380
445,1085,1167,1129,1083,1720,2977,1168,1130,1163,1166
446,2247,2561,2281,1032,1031,1222,2366,1035,951,1991
447,374,418,456,455,570,380,530,2935,379,342
448,2013,948,1669,912,1248,1026,2050,3016,1708,1709
449,1051,1076,1113,1300,1335,1072,1078,1075,1566,1114
450,1222,1991,1144,1992,1032,1256,989,1035,1027,951
451,1031,1256,1028,1032,1035,2281,1144,1222,1027,951
452,644,569,874,379,3016,454,1063,836,1026,380
453,2956,1631,2048,2013,1671,1633,2050,1748,1708,1709
454,1075,2600,1114,2939,2642,2407,2369,2561,2601,2366
455,475,478,503,506,514,542,664,2995,3012,3032
456,570,1557,605,380,1248,644,948,569,646,3016
457,2995,818,401,329,439,400,328,364,365,363
458,2015,2207,1483,1521,2244,989,1559,1597,1635,1636
459,1441,1196,1345,1741,3004,1482,1305,1058,1166,1077
460,710,804,698,590,1123,712,1087,555,673,1083
461,1124,2977,1681,1163,2952,1083,1087,1718,1683,1720
462,44,61,117,138,153,154,156,191,192,230
463,1035,1032,2931,1293,1978,1217,1027,989,1256,951
464,2629,2589,2670,2706,2627,2591,2667,2666,2792,2668
465,117,130,137,153,154,156,191,192,230,2973
466,2433,685,724,913,2473,839,951,989,2472,2510
467,1974,2956,1936,1557,1975,2013,1709,948,1708,380
468,1939,1978,2015,2016,2167,2207,2243,2244,2282,2931
469,386,3032,87,305,384,88,349,350,126,313
470,1939,1978,2015,2016,2167,2207,2243,2244,2282,2931
471,1953,1075,1078,1693,1335,1644,1113,1954,1916,1114
472,1078,2036,1113,1075,1566,1916,1300,1954,1335,1114
473,1959,1051,1071,1112,1049,1077,1075,1385,1078,1114
474,2956,1367,1785,2013,2050,1669,1633,1748,1708,1709
475,824,2369,2641,2600,2939,2557,2642,2366,2561,2601
476,1992,1256,1262,1222,951,1031,1032,1260,1035,1991
477,1718,1085,1120,1083,1077,1158,1087,1683,2952,1720
478,1049,1158,1085,1083,673,1077,1720,2952,1683,1087
479,1183,1396,2952,1739,1434,2382,1737,3039,1683,1738
480,444,618,403,481,3017,517,443,673,479,482
481,1130,1123,1077,1085,1120,1087,673,1124,1163,1083
