cell_num,pos,xcoord,ycoord,zcoord,cluster
69,1292,-16.65,4.55,-78.2,0
70,2724,143.82,41.19,-22.65,2
71,265,-142.96,5.92,-49.58,3
72,1744,29.95,29.47,-70.76,0
73,210,-154.56,47.6,4.02,3
74,1245,-20.42,54.4,-51.19,2
75,1668,22.24,30.24,-70.86,0
76,2600,131.64,52.26,18.32,1
77,2693,143.27,24.59,-40.08,0
78,956,-50.68,29.43,58.5,4
79,1020,-48.59,38.45,-63.28,2
80,2873,171.59,29.98,-7.04,1
81,1155,-28.03,64.53,23.62,1
82,1009,-45.27,69.77,-8.64,1
83,1114,-34.99,55.19,38.4,1
84,229,-151.68,1.84,50.7,3
85,1329,-12.49,11.13,-77.71,0
86,1345,-7.28,64.8,25.31,2
87,118,-172.06,12.74,41.61,3
88,954,-50.06,18.55,62.4,4
89,238,-150.58,33.51,38.26,3
90,1250,-23.79,29.7,-70.99,0
91,88,-181.56,29.86,24.65,3
92,185,-153.87,19.93,-40.45,0
93,989,-43.62,2.74,64.88,4
94,2279,90.27,10.86,-66.68,0
95,722,-83.53,1.37,-69.66,0
96,712,-83.35,53.12,-41.43,1
97,1668,22.24,30.24,-70.86,0
98,2939,132.91,48.72,26.83,1
99,998,-47.29,47.02,46.83,1
100,1634,18.48,2.89,-78.13,0
101,2648,134.46,46.15,-22.1,2
102,1291,-16.2,12.09,-77.23,0
103,1329,-12.49,11.13,-77.71,0
104,414,-119.74,23.22,-54.16,0
105,150,-171.53,6.69,-34.45,3
106,1181,-23.61,13.94,64.55,1
107,164,-166.13,33.96,30.53,3
108,3016,-94.93,8.22,-65.56,0
109,1181,-23.61,13.94,64.55,4
110,1634,18.48,2.89,-78.13,0
111,1115,-31.22,58.31,34.56,1
112,875,-55.9,3.58,64.31,4
113,1252,-23.28,17.44,-75.7,0
114,172,-157.01,46.43,7.9,3
115,1663,22.6,53.74,-51.58,2
116,1183,-23.47,22.84,62.28,2
117,1049,-40.77,68.96,-18.94,2
118,2557,128.83,42.12,38.81,1
119,1163,-28.34,69.76,-19.07,1
120,2320,94.66,6.67,63.4,4
121,1115,-31.22,58.31,34.56,1
122,1405,-5.28,10.94,-77.73,0
123,1091,-37.7,60.29,-40.89,2
124,1181,-23.61,13.94,64.55,4
125,1738,28.63,58.28,-45.4,2
126,130,-173.91,38.37,15.4,3
127,2989,14.11,21.1,-75.07,0
128,645,-87.95,9.79,-67.54,0
129,1071,-36.53,32.92,57.23,2
130,1076,-38.86,55.12,38.42,1
131,958,-51.45,38.33,53.51,1
132,111,-169.14,14.28,-33.81,3
133,782,-74.19,66.52,-11.91,2
134,912,-61.11,3.45,-74.02,0
135,263,-136.75,15.41,-50.15,5
136,1251,-21.37,24.82,-73.3,0
137,1402,-7.07,29.9,-71.64,0
138,2550,123.83,16.93,57.15,4
139,2315,94.54,18.62,-63.83,0
140,1995,59.07,69.1,4.45,2
141,682,-89.78,17.77,-65.16,0
142,1125,-32.36,69.37,-19.56,2
143,808,-68.58,45.24,46.48,1
144,975,-50.23,64.96,-30.06,2
145,1823,40.46,9.55,-75.7,0
146,569,-99.56,9.2,-64.19,0
147,1128,-35.79,63.23,-36.24,1
148,2597,132.38,47.14,30,2
149,749,-76.95,57.44,-37.07,2
150,1292,-16.65,4.55,-78.2,0
151,114,-185.3,0.94,-26.14,3
152,760,-79.28,5.07,-70.33,0
153,645,-87.95,9.79,-67.54,0
154,807,-66.16,41.42,50.06,2
155,1203,-24.14,66.81,-30.76,2
156,988,-52.5,2.95,-75.05,0
157,988,-52.5,2.95,-75.05,0
158,798,-74.28,3.53,-71.71,0
159,1251,-21.37,24.82,-73.3,0
160,709,-80.53,61.6,-26.83,2
161,1593,16.02,26.12,-73.08,0
162,1321,-13.18,53.94,-52.22,2
163,1706,26.01,30.73,-70.43,0
164,1252,-23.28,17.44,-75.7,0
165,1558,9.2,1.86,-78.55,0
166,161,-163.35,29.34,36.59,3
167,1402,-7.07,29.9,-71.64,0
168,1067,-35.22,13.75,63.87,4
169,538,-103.16,25.07,55.11,3
170,3030,11.82,7.27,-78.02,0
171,2875,168.86,31.04,-9.99,1
172,570,-100.45,4.05,-64.29,0
173,1232,-21.61,66.69,19.35,2
174,2767,151.27,26.94,-32.94,0
175,364,-127.84,55.03,-5.83,3
176,2485,120.65,52.74,25.46,1
177,2567,129.28,54.8,-2.93,2
178,2733,149.9,14.82,-40.7,0
179,988,-52.5,2.95,-75.05,0
180,108,-171.31,22.44,-28.24,3
181,38,-199.8,1.62,-13.77,3
182,2015,63.12,2.15,65.98,4
183,1683,26.77,51.09,45.42,2
184,3030,11.82,7.27,-78.02,0
185,985,-51.06,22.36,-71.33,0
186,1315,-12.64,70.14,-20.37,2
187,1090,-39.14,63.82,-34.12,2
188,163,-164.31,31.79,33.74,1
189,1027,-39.54,2.93,64.91,4
190,1130,-35.77,57,-45.82,2
191,1480,-0.3,17.23,-76.46,0
192,494,-111.18,3.06,-61.64,0
193,988,-52.5,2.95,-75.05,0
194,1055,-41.33,53.15,-49.86,2
195,1270,-17.92,66.47,20.15,4
196,1148,-27.95,37.6,55.07,1
197,1125,-32.36,69.37,-19.56,2
198,556,-99.89,59.66,-20.23,1
199,2626,134.46,16.56,55.01,1
200,2485,120.65,52.74,25.46,4
201,1319,-12.26,61.73,-41.7,2
202,2281,92.83,1.12,64.02,4
203,2885,173.83,9.06,-22.2,3
204,1292,-16.65,4.55,-78.2,0
205,1125,-32.36,69.37,-19.56,2
206,647,-83.32,5.8,62.11,4
207,2678,142.05,50.02,10.83,2
208,414,-119.74,23.22,-54.16,5
209,1167,-28.92,60.57,-42.39,1
210,2920,183.67,4.36,-5.67,3
211,2677,146.53,47.65,14.11,1
212,303,-137.18,6.89,-51.84,5
213,541,-101.22,36.58,48.84,3
214,263,-136.75,15.41,-50.15,5
215,1277,-16.36,70.28,-19.39,2
216,2645,142.17,48.37,-9.25,2
217,654,-87.94,34.7,52.12,2
218,1252,-23.28,17.44,-75.7,0
219,1053,-41.37,60.61,-39.77,2
220,172,-157.01,46.43,7.9,3
221,1099,-38.22,23.2,-72.56,0
222,680,-87.42,26.53,-62.74,0
223,1123,-32.55,70.64,-8.41,1
224,2659,136.6,8.55,-50.24,0
225,2182,78.66,62.97,21.91,1
226,2749,158.65,38.17,25.67,1
227,896,-59.62,68.5,-12.78,2
228,341,-127.41,9.52,-55.53,0
229,1056,-43.04,49.69,-53.75,1
230,1062,-44.6,16.95,-73.97,0
231,1230,-21.76,61.94,29.77,2
232,38,-199.8,1.62,-13.77,3
233,2974,-201.82,9.21,20.4,3
234,1916,49.16,65.92,20.49,1
235,2412,107.92,60.61,12.05,1
236,803,-66.96,23.58,59.62,4
237,1751,34.57,13.99,65.17,4
238,989,-43.62,2.74,64.88,4
239,1558,9.2,1.86,-78.55,0
240,263,-136.75,15.41,-50.15,5
241,1103,-31.64,3.08,65.33,4
242,427,-119.62,33.78,46.98,3
243,407,-116.93,50.03,-31.33,1
244,1329,-12.49,11.13,-77.71,0
245,754,-79.09,37.09,-58.81,2
246,2625,137.42,12.08,55.71,1
247,2996,19.42,14.76,-76.38,0
248,494,-111.18,3.06,-61.64,0
249,1218,-21.54,8.3,65.49,1
250,2015,63.12,2.15,65.98,4
251,1739,30.94,52.91,-51.87,2
252,1215,-25.28,11.74,-76.93,0
253,1292,-16.65,4.55,-78.2,0
254,1010,-47.47,69.23,-13.82,2
255,2081,67.74,53.15,-45.95,2
256,1253,-19.65,12.31,-76.95,0
257,2567,129.28,54.8,-2.93,1
258,1015,-45.38,60.16,-40.08,1
259,1291,-16.2,12.09,-77.23,0
260,1962,52.87,66.62,-26.09,2
261,2260,88.34,64.54,11.72,1
262,1110,-34.3,36.49,55.16,2
263,951,-47.66,2.33,64.73,4
264,32,-198.16,9.7,-13.51,1
265,2113,72.47,66.86,-16.82,2
266,658,-86.2,50.53,37.78,1
267,607,-91.5,12.66,-65.91,0
268,147,-170.76,18.09,-31.18,3
269,2646,135.14,49.51,-14.79,1
270,1028,-42.05,7.94,64.46,4
271,2728,149.52,30.97,-30.81,0
272,2048,62.71,26.27,-67.98,0
273,1965,55.5,60.16,-39.03,1
274,619,-89.51,45.67,42.76,2
275,1939,56.39,6.19,65.88,4
276,2131,75.75,12.6,64.46,4
277,222,-154.06,24.81,-37.53,0
278,636,-93.3,50.13,-41.68,2
279,747,-76.78,61.14,-29.96,2
280,768,-74.58,37.53,51.67,2
281,1097,-38.41,35.28,-66.66,0
282,2989,14.11,21.1,-75.07,0
283,364,-127.84,55.03,-5.83,3
284,3029,-72.5,52.81,-45.34,2
285,988,-52.5,2.95,-75.05,0
286,1245,-20.42,54.4,-51.19,2
287,1077,-35.73,58.49,33.89,1
288,1025,-47.16,9.95,-75.13,0
289,270,-150.61,10.57,50.03,3
290,951,-47.66,2.33,64.73,4
291,1733,31.5,69.81,-20.65,1
292,1129,-33.6,60.83,-40.96,1
293,1035,-41.29,43.56,49.96,1
294,1028,-42.05,7.94,64.46,4
295,847,-61.48,50.3,42.76,2
296,1077,-35.73,58.49,33.89,1
297,1181,-23.61,13.94,64.55,4
298,1668,22.24,30.24,-70.86,0
299,1353,-8.63,70.19,-20.59,2
300,683,-86.44,5.21,-68.49,0
301,1075,-35.65,51.36,42.88,1
302,2299,94.05,64.48,5.05,1
303,1174,-31.92,29.2,-70.67,0
304,3016,-94.93,8.22,-65.56,0
305,2619,134.84,18.2,-48.46,0
306,1125,-32.36,69.37,-19.56,2
307,1128,-35.79,63.23,-36.24,2
308,378,-127.79,17.4,-53.28,5
309,1252,-23.28,17.44,-75.7,0
310,1228,-22.82,55.94,38.74,1
311,1939,56.39,6.19,65.88,4
312,341,-127.41,9.52,-55.53,5
313,1047,-41.19,70.01,-8.44,2
314,1134,-35.15,39.74,-63.92,0
315,682,-89.78,17.77,-65.16,0
316,1205,-25.66,62.07,-40.54,1
317,690,-82.42,26.46,57.08,1
318,1273,-15.92,71.04,1.58,2
319,1965,55.5,60.16,-39.03,1
320,1064,-43.69,3.4,-76.18,0
321,1193,-23.72,64.29,24.65,1
322,193,-159.17,7.09,47.98,3
323,2631,138.77,35.54,42.2,1
324,683,-86.44,5.21,-68.49,0
325,1230,-21.76,61.94,29.77,1
326,2209,83.2,22.64,61.16,4
327,2947,34.53,58.2,-45.15,4
328,1027,-39.54,2.93,64.91,4
329,1077,-35.73,58.49,33.89,1
330,417,-118.6,8.22,-58.73,5
331,1215,-25.28,11.74,-76.93,0
332,32,-198.16,9.7,-13.51,3
333,1120,-34.28,69.16,7.66,2
334,713,-79.87,50.68,-45.67,2
335,1995,59.07,69.1,4.45,1
336,273,-144.81,24.48,46.74,2
337,988,-52.5,2.95,-75.05,0
338,2256,86.37,59.59,27.62,1
339,642,-93.48,23.52,-61.88,0
340,1140,-36.06,3.5,-76.93,0
341,1028,-42.05,7.94,64.46,4
342,2081,67.74,53.15,-45.95,1
343,2221,84.64,64.22,14.85,1
344,1367,-8.84,10.94,-77.64,0
345,630,-91.22,63.01,-11.63,2
346,1325,-13.13,35.52,-68.45,0
347,1049,-40.77,68.96,-18.94,2
348,1062,-44.6,16.95,-73.97,0
349,374,-128.36,32.68,-45.18,5
350,1150,-29.24,48.45,46.5,1
351,206,-159.77,43.49,17.05,3
352,1130,-35.77,57,-45.82,1
353,900,-60.2,62.13,-34.38,2
354,1317,-12.19,66.93,-30.82,2
355,675,-84.69,49.56,-45.54,2
356,1099,-38.22,23.2,-72.56,0
357,1252,-23.28,17.44,-75.7,0
358,517,-104.06,60.47,-13.31,1
359,1245,-20.42,54.4,-51.19,2
360,1078,-38.14,60.96,29.54,1
361,517,-104.06,60.47,-13.31,3
362,2693,143.27,24.59,-40.08,0
363,417,-118.6,8.22,-58.73,5
364,263,-136.75,15.41,-50.15,5
365,2173,78.76,33.65,56.59,0
366,3008,-3.38,48.06,-58.58,1
367,1916,49.16,65.92,20.49,1
368,1685,26.93,59.25,35.47,1
369,1140,-36.06,3.5,-76.93,0
370,1139,-35.63,11.4,-76.12,0
371,340,-133.38,10.15,-52.87,5
372,1065,-35.38,3.17,65.23,4
373,1424,-2.27,70.39,8.54,1
374,804,-68.05,27.91,57.73,2
375,2064,64.01,53.56,40.54,1
376,640,-93.18,33.81,-56.98,0
377,417,-118.6,8.22,-58.73,5
378,206,-159.77,43.49,17.05,3
379,1120,-34.28,69.16,7.66,1
380,788,-74.71,55.65,-40.86,2
381,784,-72.6,65.01,-21.32,2
382,114,-185.3,0.94,-26.14,3
383,1042,-41.92,65.45,19.05,1
384,1250,-23.79,29.7,-70.99,0
385,766,-73.22,29.12,56.7,1
386,709,-80.53,61.6,-26.83,2
387,684,-90.03,0.93,-67.65,0
388,1146,-30.73,30.07,59.11,1
389,187,-152.63,15.05,-43.1,0
390,1153,-27.6,58.74,34.31,1
391,2124,67.55,25.28,-67.56,0
392,749,-76.95,57.44,-37.07,2
393,1230,-21.76,61.94,29.77,1
394,646,-92.26,5.2,-66.83,0
395,3030,11.82,7.27,-78.02,0
396,1253,-19.65,12.31,-76.95,0
397,38,-199.8,1.62,-13.77,3
398,1063,-43.1,10.4,-75.56,0
399,709,-80.53,61.6,-26.83,2
400,1025,-47.16,9.95,-75.13,0
401,1169,-29.36,54.22,-50.65,2
402,1861,44.06,10.66,-75.08,0
403,769,-71.14,40.63,50,3
404,2790,162.14,39.89,14.26,3
405,1691,26.95,71.06,2.69,1
406,913,-51.75,2.37,64.55,4
407,760,-79.28,5.07,-70.33,0
408,61,-185.84,31.5,-3.61,3
409,523,-105.8,46.52,-41.56,2
410,1167,-28.92,60.57,-42.39,1
411,2227,83.79,64.34,-18.44,1
412,491,-108.02,20.1,-59.06,0
413,1040,-42.71,60.97,29.24,2
414,1634,18.48,2.89,-78.13,0
415,2885,173.83,9.06,-22.2,3
416,157,-167.14,15.74,42.78,3
417,836,-68.8,2.45,-72.69,0
418,1037,-39.9,51.29,42.74,1
419,14,-205.72,11.48,7.34,3
420,2625,137.42,12.08,55.71,1
421,1063,-43.1,10.4,-75.56,0
422,522,-109.07,48.14,-38.29,2
423,263,-136.75,15.41,-50.15,5
424,3038,-20.05,3.22,-78.11,0
425,153,-164.19,-0.52,46.6,3
426,801,-65.44,13.23,62.52,1
427,2243,88.87,4.1,64.25,4
428,1205,-25.66,62.07,-40.54,2
429,1668,22.24,30.24,-70.86,0
430,518,-104.88,59.55,-16.79,2
431,2619,134.84,18.2,-48.46,0
432,828,-68.08,46.47,-53.93,2
433,1405,-5.28,10.94,-77.73,0
434,1431,-0.47,67.41,-31.19,1
435,1240,-22.78,68.38,-26.38,2
436,286,-139.56,52.24,0.22,2
437,1242,-23.13,64.05,-37.02,2
438,1115,-31.22,58.31,34.56,1
439,986,-52.89,15.88,-73.26,0
440,265,-142.96,5.92,-49.58,5
441,951,-47.66,2.33,64.73,4
442,1083,-36.59,69.76,2.23,1
443,1255,-15.61,2.65,66.15,4
444,1291,-16.2,12.09,-77.23,0
445,2382,103.1,55.05,-30.07,2
446,2407,107.94,52.59,32.31,4
447,341,-127.41,9.52,-55.53,5
448,1253,-19.65,12.31,-76.95,0
449,1012,-47.5,66.98,-24.89,1
450,1282,-17.08,58.31,-46.37,2
451,1065,-35.38,3.17,65.23,4
452,1213,-25.2,22.72,-73.95,0
453,1328,-15.18,18.14,-75.79,0
454,2366,100.25,46.38,43.15,1
455,364,-127.84,55.03,-5.83,3
456,529,-103.2,22.32,-59.49,0
457,517,-104.06,60.47,-13.31,2
458,2015,63.12,2.15,65.98,4
459,1091,-37.7,60.29,-40.89,2
460,709,-80.53,61.6,-26.83,2
461,709,-80.53,61.6,-26.83,2
462,61,-185.84,31.5,-3.61,3
463,1091,-37.7,60.29,-40.89,4
464,2633,138.89,40.62,36.44,1
465,223,-149.18,25.33,-39.89,3
466,689,-81.63,22.15,58.96,4
467,2943,-22.54,7.84,-77.57,0
468,2015,63.12,2.15,65.98,4
469,306,-137.13,5.06,53.91,3
470,1217,-19.42,3.59,65.86,4
471,1153,-27.6,58.74,34.31,1
472,1001,-43.92,57.61,34.57,1
473,1196,-25.95,69.41,8.56,1
474,1364,-11.4,30.15,-71.23,0
475,804,-68.05,27.91,57.73,1
476,960,-51.07,47.02,46.75,1
477,789,-70.24,49.46,-50.05,1
478,1887,46.96,65.81,-29.51,2
479,2605,134.63,52.6,-4.43,2
480,843,-62.51,33.53,55.83,1
481,788,-74.71,55.65,-40.86,2
482,1668,22.24,30.24,-70.86,0
483,417,-118.6,8.22,-58.73,0
484,1391,-4.6,70.54,-20.18,2
485,1668,22.24,30.24,-70.86,0
486,896,-59.62,68.5,-12.78,2
487,910,-61.28,16.83,-71.67,0
488,1226,-21.45,48.07,47.4,1
489,1555,9.7,22.44,-74.66,0
490,572,-97.49,8.3,60.41,2
491,1062,-44.6,16.95,-73.97,0
492,340,-133.38,10.15,-52.87,5
493,807,-66.16,41.42,50.06,2
494,1145,-27.98,24.57,61.46,4
495,1452,1.51,40.07,54.78,1
496,562,-102.93,44.5,-44.88,2
497,2323,97.63,21.87,59.74,4
498,2875,168.86,31.04,-9.99,3
499,1343,-7.72,59.68,34.53,1
500,1279,-15.71,66.89,-30.71,2
501,1167,-28.92,60.57,-42.39,2
502,38,-199.8,1.62,-13.77,3
503,364,-127.84,55.03,-5.83,3
504,380,-128.79,5.59,-55.28,0
505,2343,100.52,57.6,-26.71,2
506,1368,-10.17,3.63,-78.39,0
507,1147,-27.27,32.37,58.09,1
508,481,-107.81,55.92,-25.53,1
509,994,-46.54,29.18,58.66,4
510,1153,-27.6,58.74,34.31,2
511,1128,-35.79,63.23,-36.24,2
512,807,-66.16,41.42,50.06,1
513,571,-92.54,1.18,61.32,4
514,1163,-28.34,69.76,-19.07,2
515,2512,118.66,17.76,57.91,4
516,120,-168.74,18.56,41.03,3
517,1011,-45.56,68.49,-19.16,2
518,642,-93.48,23.52,-61.88,0
519,340,-133.38,10.15,-52.87,5
520,612,-93.88,17.3,59.15,4
521,1130,-35.77,57,-45.82,2
522,849,-61.87,57.74,33.24,2
523,168,-168.23,39.94,18.2,3
524,2625,137.42,12.08,55.71,4
525,2996,19.42,14.76,-76.38,0
526,1129,-33.6,60.83,-40.96,2
527,1229,-20.05,57.78,36.55,2
528,303,-137.18,6.89,-51.84,0
529,1738,28.63,58.28,-45.4,2
530,517,-104.06,60.47,-13.31,3
531,1073,-37.48,42.96,50.73,1
532,1266,-17.64,55.55,39.51,1
533,478,-112.8,58.84,-9.69,3
534,1078,-38.14,60.96,29.54,1
535,1097,-38.41,35.28,-66.66,0
536,384,-128.78,15.2,53.92,3
537,1128,-35.79,63.23,-36.24,2
538,878,-59.37,18.22,62,4
539,765,-70.93,20.78,60.27,1
540,1245,-20.42,54.4,-51.19,2
541,1597,20.14,3.54,66.61,4
542,2130,72.1,5.6,65.5,4
543,2817,165.57,18.39,41.23,3
544,1179,-23.57,2.83,65.71,4
545,75,-175.53,2.27,-32.6,3
546,2105,71.43,61.47,27.08,1
547,237,-147.09,31.86,41.05,3
548,2989,14.11,21.1,-75.07,0
549,2704,148.08,24.02,47.4,3
550,366,-127.43,51.61,-20.35,2
551,1230,-21.76,61.94,29.77,1
552,684,-90.03,0.93,-67.65,0
553,752,-78.76,47.05,-50.01,2
554,1971,55.44,33.98,-65.34,0
555,1115,-31.22,58.31,34.56,1
556,1739,30.94,52.91,-51.87,2
557,1208,-25.72,51.05,-54.68,2
558,1494,6.98,56.56,39.39,1
559,1055,-41.33,53.15,-49.86,2
560,263,-136.75,15.41,-50.15,3
561,2911,181.95,14.26,-4.2,3
562,1075,-35.65,51.36,42.88,1
563,673,-85.21,56.71,-34.89,2
564,2641,138.62,51.62,7.39,1
565,38,-199.8,1.62,-13.77,0
566,646,-92.26,5.2,-66.83,0
567,1098,-39.59,28.93,-70.15,0
568,2926,178.71,1.26,-17.37,3
569,1181,-23.61,13.94,64.55,4
570,760,-79.28,5.07,-70.33,0
571,38,-199.8,1.62,-13.77,3
572,523,-105.8,46.52,-41.56,2
573,514,-105.35,61,2.25,3
574,1034,-42.86,38.71,53.33,1
575,2607,131.87,52.24,-10.79,2
576,798,-74.28,3.53,-71.71,0
577,891,-58.12,66.21,14.56,1
578,1140,-36.06,3.5,-76.93,0
579,801,-65.44,13.23,62.52,4
580,1150,-29.24,48.45,46.5,1
581,1279,-15.71,66.89,-30.71,2
582,1053,-41.37,60.61,-39.77,2
583,2673,148.24,42.84,26.64,1
584,363,-124.07,56.09,-2.68,2
585,579,-97.25,39.3,47.29,1
586,91,-181.96,33.41,18.12,3
587,2559,126.81,48.34,30.8,1
588,1017,-45.63,53.37,-49.42,2
589,2711,154.6,39.77,26.77,1
590,798,-74.28,3.53,-71.71,0
591,949,-55.34,9.18,-74.3,1
592,876,-59.48,7.64,63.74,4
593,2485,120.65,52.74,25.46,1
594,790,-73.67,45.68,-52.94,2
595,1229,-20.05,57.78,36.55,2
596,1141,-27.49,3.08,65.48,4
597,2500,113.41,42.48,-42.02,2
598,1774,32.12,64.77,-34.3,1
599,2197,80.19,44.7,-52.2,2
600,1278,-18.84,69.26,-23.92,2
601,684,-90.03,0.93,-67.65,0
602,1150,-29.24,48.45,46.5,4
603,1201,-24.42,69.73,-20.55,2
604,1034,-42.86,38.71,53.33,1
605,1228,-22.82,55.94,38.74,4
606,38,-199.8,1.62,-13.77,3
607,2207,85.09,14.12,63.28,4
608,2752,156.36,42.85,15.11,3
609,840,-63.71,19.57,61.18,4
610,622,-90.35,56.53,27.45,2
611,1177,-28.41,9.91,-76.88,0
612,800,-67.92,7.71,63.1,1
613,2847,166.93,10.63,-28.44,3
614,2646,135.14,49.51,-14.79,2
615,492,-112.58,16.94,-58.89,5
616,1003,-44.63,63.47,23.9,2
617,3004,-10.89,56.71,-48.99,2
618,1187,-23.53,44.11,50.79,1
619,760,-79.28,5.07,-70.33,0
620,1245,-20.42,54.4,-51.19,2
621,2567,129.28,54.8,-2.93,2
622,1405,-5.28,10.94,-77.73,0
623,1130,-35.77,57,-45.82,1
624,682,-89.78,17.77,-65.16,2
625,1055,-41.33,53.15,-49.86,2
626,1159,-28.31,70.19,3.12,1
627,1253,-19.65,12.31,-76.95,0
628,988,-52.5,2.95,-75.05,0
629,1291,-16.2,12.09,-77.23,0
630,912,-61.11,3.45,-74.02,0
631,1668,22.24,30.24,-70.86,0
632,1127,-33.13,66.66,-28.83,2
633,1179,-23.57,2.83,65.71,4
634,558,-100.7,56.18,-28.79,2
635,478,-112.8,58.84,-9.69,1
636,1,-194.04,0.22,30.2,3
637,1367,-8.84,10.94,-77.64,0
638,442,-115.98,55.86,-18.94,3
639,1077,-35.73,58.49,33.89,2
640,417,-118.6,8.22,-58.73,0
641,1024,-48.85,16.33,-73.66,0
642,1329,-12.49,11.13,-77.71,0
643,1245,-20.42,54.4,-51.19,2
644,1055,-41.33,53.15,-49.86,2
645,2086,66.77,29.86,-65.71,0
646,1879,46.9,67.77,15.3,1
647,1214,-27.91,17.78,-75.23,0
648,1022,-48.52,28.39,-69.15,0
649,2943,-22.54,7.84,-77.57,0
650,1071,-36.53,32.92,57.23,1
651,1253,-19.65,12.31,-76.95,0
652,500,-108.74,24.69,54.39,3
653,796,-74.88,14.59,-69.96,0
654,330,-135.81,45.98,-25.98,3
655,1075,-35.65,51.36,42.88,4
656,664,-86.6,62.9,10.69,2
657,1253,-19.65,12.31,-76.95,0
658,2601,133.83,52.42,14.37,1
659,89,-184.57,30.39,20.88,3
660,675,-84.69,49.56,-45.54,2
661,1048,-42.99,69.46,-14.17,2
662,1048,-42.99,69.46,-14.17,2
663,1064,-43.69,3.4,-76.18,0
664,155,-164.48,6.82,46.11,3
665,1153,-27.6,58.74,34.31,1
666,1214,-27.91,17.78,-75.23,0
667,2941,-76.63,63.36,-24.29,1
668,873,-63.53,10.29,-72.76,0
669,1064,-43.69,3.4,-76.18,0
670,1083,-36.59,69.76,2.23,2
671,760,-79.28,5.07,-70.33,0
672,1249,-21.13,35.16,-68.17,0
673,993,-44.19,24.67,60.6,4
674,367,-124.98,50.96,-23.72,2
675,683,-86.44,5.21,-68.49,0
676,3030,11.82,7.27,-78.02,0
677,1229,-20.05,57.78,36.55,1
678,988,-52.5,2.95,-75.05,0
679,3014,-31.79,12.58,-76.22,0
680,986,-52.89,15.88,-73.26,0
681,1026,-47.88,3.18,-75.76,0
682,958,-51.45,38.33,53.51,1
683,2949,-7.43,56.25,39.3,1
684,1053,-41.37,60.61,-39.77,2
685,2641,138.62,51.62,7.39,1
686,847,-61.48,50.3,42.76,1
687,1009,-45.27,69.77,-8.64,2
688,1361,-8.95,46.16,-60.37,2
689,417,-118.6,8.22,-58.73,5
690,1558,9.2,1.86,-78.55,0
691,1250,-23.79,29.7,-70.99,0
692,1139,-35.63,11.4,-76.12,0
693,120,-168.74,18.56,41.03,3
694,407,-116.93,50.03,-31.33,2
695,2366,100.25,46.38,43.15,1
696,74,-193.25,4.68,-19.69,3
697,1963,55.92,64.37,-30.75,1
698,3004,-10.89,56.71,-48.99,2
